so2Grade,khaiValue,so2Value,coValue,pm10Value,o3Grade,khaiGrade,no2Grade,dataTime,coGrade,no2Value,pm10Grade,o3Value
1,74,0.003,0.3,38,2,2,1,2024-04-23 12:00,1,0.009,2,0.059
1,73,0.003,0.3,42,2,2,1,2024-04-23 11:00,1,0.010,2,0.057
1,72,0.003,0.3,31,2,2,1,2024-04-23 10:00,1,0.009,1,0.056
1,71,0.003,0.3,34,2,2,1,2024-04-23 09:00,1,0.008,1,0.055
1,68,0.003,0.3,28,2,2,1,2024-04-23 08:00,1,0.009,1,0.051
1,71,0.003,0.3,21,2,2,1,2024-04-23 07:00,1,0.008,1,0.055
1,72,0.003,0.3,22,2,2,1,2024-04-23 06:00,1,0.007,1,0.056
1,73,0.003,0.3,29,2,2,1,2024-04-23 05:00,1,0.006,1,0.057
1,65,0.003,0.3,31,2,2,1,2024-04-23 04:00,1,0.007,1,0.048
1,56,0.003,0.3,30,2,2,1,2024-04-23 03:00,1,0.008,1,0.037
1,59,0.003,0.3,30,2,2,1,2024-04-23 02:00,1,0.007,1,0.041
1,61,0.003,0.3,25,2,2,1,2024-04-23 01:00,1,0.007,1,0.043
1,61,0.003,0.3,28,2,2,1,2024-04-22 24:00,1,0.007,2,0.043
1,62,0.003,0.3,34,2,2,1,2024-04-22 23:00,1,0.008,1,0.044
1,56,0.003,0.3,33,2,2,1,2024-04-22 22:00,1,0.011,1,0.037
1,47,0.003,0.3,32,1,1,1,2024-04-22 21:00,1,0.018,1,0.027
1,51,0.003,0.3,26,2,2,1,2024-04-22 20:00,1,0.018,1,0.031
1,53,0.003,0.3,25,2,2,1,2024-04-22 19:00,1,0.017,1,0.034
1,54,0.003,0.3,32,2,2,1,2024-04-22 18:00,1,0.014,1,0.035
1,57,0.003,0.3,31,2,2,1,2024-04-22 17:00,1,0.012,1,0.038
1,58,0.003,0.3,29,2,2,1,2024-04-22 16:00,1,0.011,1,0.040
1,58,0.003,0.3,31,2,2,1,2024-04-22 15:00,1,0.013,1,0.040
1,60,0.003,0.3,27,2,2,1,2024-04-22 14:00,1,0.011,1,0.042
