so2Grade,khaiValue,so2Value,coValue,pm10Value,o3Grade,khaiGrade,no2Grade,dataTime,coGrade,no2Value,pm10Grade,o3Value
1,83,0.002,0.3,14,2,2,1,2024-04-23 11:00,1,0.004,1,0.070
1,85,0.002,0.3,13,2,2,1,2024-04-23 10:00,1,0.004,1,0.072
1,85,0.002,0.3,11,2,2,1,2024-04-23 09:00,1,0.004,1,0.072
1,82,0.002,0.3,11,2,2,1,2024-04-23 08:00,1,0.004,1,0.068
1,47,0.002,0.3,18,1,1,1,2024-04-23 07:00,1,0.009,1,0.023
1,47,0.002,0.3,13,1,1,1,2024-04-23 06:00,1,0.007,1,0.024
1,47,0.002,0.3,13,1,1,1,2024-04-23 05:00,1,0.007,1,0.024
1,50,0.002,0.3,15,1,1,1,2024-04-23 04:00,1,0.006,1,0.025
1,47,0.002,0.3,16,1,1,1,2024-04-23 03:00,1,0.006,1,0.026
1,50,0.002,0.3,23,1,1,1,2024-04-23 02:00,1,0.006,1,0.030
1,54,0.002,0.3,21,2,2,1,2024-04-23 01:00,1,0.006,1,0.035
1,53,0.002,0.3,21,2,2,1,2024-04-22 24:00,1,0.007,1,0.034
1,54,0.002,0.3,19,2,2,1,2024-04-22 23:00,1,0.006,1,0.035
1,58,0.002,0.3,20,2,2,1,2024-04-22 22:00,1,0.006,1,0.039
1,60,0.002,0.3,20,2,2,1,2024-04-22 21:00,1,0.007,1,0.042
1,71,0.002,0.3,23,2,2,1,2024-04-22 20:00,1,0.006,1,0.055
1,74,0.002,0.3,22,2,2,1,2024-04-22 19:00,1,0.005,1,0.059
1,75,0.002,0.3,25,2,2,1,2024-04-22 18:00,1,0.005,1,0.060
1,73,0.002,0.3,19,2,2,1,2024-04-22 17:00,1,0.005,1,0.057
1,72,0.002,0.3,17,2,2,1,2024-04-22 16:00,1,0.004,1,0.056
1,73,0.002,0.3,15,2,2,1,2024-04-22 15:00,1,0.004,1,0.057
1,76,0.002,0.3,9,2,2,1,2024-04-22 14:00,1,0.004,1,0.061
