so2Grade,khaiValue,so2Value,coValue,pm10Value,o3Grade,khaiGrade,no2Grade,dataTime,coGrade,no2Value,pm10Grade,o3Value
1,73,0.003,0.6,26,2,2,1,2024-04-23 12:00,1,0.004,1,0.057
1,72,0.003,0.6,25,2,2,1,2024-04-23 11:00,1,0.004,1,0.056
1,68,0.003,0.6,25,2,2,1,2024-04-23 10:00,1,0.005,1,0.052
1,65,0.003,0.6,25,2,2,1,2024-04-23 09:00,1,0.006,1,0.048
1,61,0.003,0.6,24,2,2,1,2024-04-23 08:00,1,0.009,1,0.043
1,58,0.003,0.6,25,2,2,1,2024-04-23 07:00,1,0.008,1,0.039
1,58,0.003,0.6,27,2,2,1,2024-04-23 06:00,1,0.006,1,0.039
1,58,0.003,0.6,27,2,2,1,2024-04-23 05:00,1,0.005,1,0.039
1,56,0.003,0.5,27,2,2,1,2024-04-23 04:00,1,0.005,1,0.037
1,57,0.003,0.6,27,2,2,1,2024-04-23 03:00,1,0.004,1,0.038
1,56,0.003,0.6,26,2,2,1,2024-04-23 02:00,1,0.004,1,0.037
1,52,0.003,0.6,24,2,2,1,2024-04-23 01:00,1,0.008,1,0.032
1,54,0.003,0.6,23,2,2,1,2024-04-22 24:00,1,0.006,1,0.035
1,53,0.003,0.6,24,2,2,1,2024-04-22 23:00,1,0.007,1,0.034
1,50,0.003,0.6,27,1,1,1,2024-04-22 22:00,1,0.009,1,0.030
1,51,0.003,0.6,27,2,2,1,2024-04-22 21:00,1,0.009,1,0.031
1,53,0.003,0.6,26,2,2,1,2024-04-22 20:00,1,0.008,1,0.034
1,52,0.003,0.6,25,2,2,1,2024-04-22 19:00,1,0.013,1,0.032
1,53,0.003,0.6,24,2,2,1,2024-04-22 18:00,1,0.013,1,0.034
1,57,0.003,0.6,24,2,2,1,2024-04-22 17:00,1,0.010,1,0.038
1,58,0.003,0.6,23,2,2,1,2024-04-22 16:00,1,0.007,1,0.040
1,58,0.003,0.6,24,2,2,1,2024-04-22 15:00,1,0.007,1,0.040
1,59,0.003,0.6,23,2,2,1,2024-04-22 14:00,1,0.005,1,0.041
