so2Grade,khaiValue,so2Value,coValue,pm10Value,o3Grade,khaiGrade,no2Grade,dataTime,coGrade,no2Value,pm10Grade,o3Value
1,75,0.003,0.2,34,2,2,1,2024-04-23 11:00,1,0.014,1,0.060
1,71,0.003,0.2,28,2,2,1,2024-04-23 10:00,1,0.012,1,0.055
1,69,0.002,0.2,31,2,2,1,2024-04-23 09:00,1,0.012,1,0.053
1,66,0.002,0.2,21,2,2,1,2024-04-23 08:00,1,0.019,1,0.049
1,50,0.002,0.2,23,1,1,1,2024-04-23 07:00,1,0.020,1,0.030
1,62,0.002,0.2,27,2,2,1,2024-04-23 06:00,1,0.012,1,0.044
1,58,0.002,0.2,20,2,2,1,2024-04-23 05:00,1,0.023,1,0.039
1,54,0.002,0.2,15,2,2,1,2024-04-23 04:00,1,0.018,1,0.035
1,53,0.002,0.2,20,2,2,1,2024-04-23 03:00,1,0.021,1,0.033
1,54,0.002,0.2,24,2,2,1,2024-04-23 02:00,1,0.026,1,0.035
1,71,0.002,0.2,30,2,2,1,2024-04-23 01:00,1,0.008,1,0.055
1,74,0.002,0.2,30,2,2,1,2024-04-22 24:00,1,0.006,2,0.059
1,63,0.002,0.2,27,2,2,1,2024-04-22 23:00,1,0.014,2,0.045
1,58,0.002,0.2,30,2,2,1,2024-04-22 22:00,1,0.013,2,0.039
1,60,0.002,0.2,34,2,2,1,2024-04-22 21:00,1,0.013,2,0.042
1,63,0.002,0.2,33,2,2,1,2024-04-22 20:00,1,0.015,2,0.045
1,68,0.002,0.2,36,2,2,1,2024-04-22 19:00,1,0.009,2,0.052
1,74,0.002,0.2,32,2,2,1,2024-04-22 18:00,1,0.007,2,0.059
1,74,0.002,0.2,34,2,2,1,2024-04-22 17:00,1,0.009,2,0.059
1,71,0.003,0.2,40,2,2,1,2024-04-22 16:00,1,0.010,2,0.055
1,70,0.002,0.2,27,2,2,1,2024-04-22 15:00,1,0.010,2,0.054
1,74,0.002,0.2,27,2,2,1,2024-04-22 14:00,1,0.009,2,0.059
1,74,0.002,0.2,38,2,2,1,2024-04-22 13:00,1,0.006,2,0.059
