so2Grade,khaiValue,so2Value,coValue,pm10Value,o3Grade,khaiGrade,no2Grade,dataTime,coGrade,no2Value,pm10Grade,o3Value
1,79,0.003,0.2,18,2,2,1,2024-04-23 11:00,1,0.004,1,0.065
1,74,0.003,0.3,24,2,2,1,2024-04-23 10:00,1,0.004,1,0.059
1,55,0.003,0.3,25,2,2,1,2024-04-23 09:00,1,0.017,1,0.036
1,43,0.003,0.3,23,1,1,1,2024-04-23 08:00,1,0.020,1,0.026
1,40,0.002,0.3,21,1,1,1,2024-04-23 07:00,1,0.014,1,0.024
1,45,0.003,0.3,20,1,1,1,2024-04-23 06:00,1,0.008,1,0.027
1,40,0.002,0.3,20,1,1,1,2024-04-23 05:00,1,0.008,1,0.024
1,51,0.002,0.3,20,2,2,1,2024-04-23 04:00,1,0.007,1,0.031
1,51,0.003,0.3,20,2,2,1,2024-04-23 03:00,1,0.007,1,0.031
1,58,0.002,0.3,22,2,2,1,2024-04-23 02:00,1,0.006,1,0.039
1,61,0.003,0.3,22,2,2,1,2024-04-23 01:00,1,0.007,1,0.043
1,64,0.002,0.3,24,2,2,1,2024-04-22 24:00,1,0.006,1,0.047
1,65,0.003,0.3,25,2,2,1,2024-04-22 23:00,1,0.007,1,0.048
1,63,0.003,0.3,29,2,2,1,2024-04-22 22:00,1,0.012,2,0.045
1,58,0.003,0.3,34,2,2,1,2024-04-22 21:00,1,0.018,2,0.040
1,61,0.003,0.3,32,2,2,1,2024-04-22 20:00,1,0.020,2,0.043
1,71,0.002,0.3,31,2,2,1,2024-04-22 19:00,1,0.012,2,0.055
1,76,0.003,0.3,26,2,2,1,2024-04-22 18:00,1,0.008,1,0.061
1,78,0.003,0.3,29,2,2,1,2024-04-22 17:00,1,0.007,2,0.064
1,80,0.003,0.3,31,2,2,1,2024-04-22 16:00,1,0.004,2,0.066
1,80,0.003,0.2,28,2,2,1,2024-04-22 15:00,1,0.004,2,0.066
1,76,0.003,0.3,33,2,2,1,2024-04-22 14:00,1,0.006,2,0.061
