so2Grade,khaiValue,so2Value,coValue,pm10Value,o3Grade,khaiGrade,no2Grade,dataTime,coGrade,no2Value,pm10Grade,o3Value
1,73,0.003,0.3,34,2,2,1,2024-04-23 11:00,1,0.015,1,0.057
1,71,0.003,0.3,32,2,2,1,2024-04-23 10:00,1,0.016,1,0.055
1,64,0.003,0.5,28,2,2,1,2024-04-23 09:00,1,0.020,1,0.047
1,53,0.003,0.4,30,2,2,1,2024-04-23 08:00,1,0.027,1,0.033
1,53,0.003,0.4,26,1,2,2,2024-04-23 07:00,1,0.032,1,0.024
1,48,0.002,0.4,27,1,1,1,2024-04-23 06:00,1,0.029,1,0.023
1,53,0.003,0.3,28,2,2,1,2024-04-23 05:00,1,0.019,1,0.033
1,52,0.003,0.4,28,2,2,1,2024-04-23 04:00,1,0.019,1,0.032
1,50,0.003,0.4,29,1,1,1,2024-04-23 03:00,1,0.021,1,0.024
1,50,0.003,0.4,29,1,1,1,2024-04-23 02:00,1,0.023,1,0.020
1,50,0.003,0.4,30,1,1,1,2024-04-23 01:00,1,0.024,1,0.024
1,52,0.003,0.4,31,2,2,1,2024-04-22 24:00,1,0.024,1,0.032
1,58,0.003,0.4,30,2,2,1,2024-04-22 23:00,1,0.019,1,0.039
1,56,0.002,0.4,28,2,2,1,2024-04-22 22:00,1,0.024,1,0.037
1,57,0.003,0.3,28,2,2,1,2024-04-22 21:00,1,0.023,1,0.038
1,59,0.003,0.3,30,2,2,1,2024-04-22 20:00,1,0.020,1,0.041
1,54,0.003,0.3,28,2,2,1,2024-04-22 19:00,1,0.022,1,0.035
1,57,0.003,0.3,29,2,2,1,2024-04-22 18:00,1,0.020,1,0.038
1,58,0.003,0.3,29,2,2,1,2024-04-22 17:00,1,0.019,1,0.039
1,56,0.003,0.3,31,2,2,1,2024-04-22 16:00,1,0.019,1,0.037
1,58,0.003,0.3,33,2,2,1,2024-04-22 15:00,1,0.019,1,0.039
1,58,0.003,0.3,31,2,2,1,2024-04-22 14:00,1,0.019,1,0.040
