so2Grade,khaiValue,so2Value,coValue,pm10Value,o3Grade,khaiGrade,no2Grade,dataTime,coGrade,no2Value,pm10Grade,o3Value
1,66,0.002,0.3,26,2,2,1,2024-04-23 11:00,1,0.012,2,0.049
1,61,0.002,0.3,36,2,2,1,2024-04-23 10:00,1,0.015,2,0.043
1,59,0.003,0.4,27,2,2,1,2024-04-23 09:00,1,0.018,2,0.040
1,61,0.002,0.4,29,2,2,1,2024-04-23 08:00,1,0.025,2,0.032
1,61,0.002,0.4,31,1,2,2,2024-04-23 07:00,1,0.035,2,0.019
1,66,0.003,0.3,24,1,2,1,2024-04-23 06:00,1,0.025,2,0.025
1,72,0.002,0.3,26,2,2,1,2024-04-23 05:00,1,0.017,2,0.031
1,77,0.002,0.3,22,2,2,1,2024-04-23 04:00,1,0.011,2,0.035
1,82,0.002,0.3,28,2,2,1,2024-04-23 03:00,1,0.011,2,0.038
1,85,0.002,0.4,43,2,2,1,2024-04-23 02:00,1,0.018,2,0.036
1,85,0.002,0.4,60,2,2,1,2024-04-23 01:00,1,0.026,2,0.036
1,82,0.003,0.5,64,2,2,1,2024-04-22 24:00,1,0.027,2,0.046
1,77,0.003,0.4,57,2,2,1,2024-04-22 23:00,1,0.025,2,0.052
1,74,0.003,0.4,52,2,2,1,2024-04-22 22:00,1,0.028,2,0.052
1,74,0.003,0.4,54,2,2,1,2024-04-22 21:00,1,0.025,2,0.059
1,74,0.003,0.4,56,2,2,1,2024-04-22 20:00,1,0.029,2,0.059
1,87,0.002,0.4,41,2,2,1,2024-04-22 19:00,1,0.015,2,0.074
1,85,0.002,0.4,44,2,2,1,2024-04-22 18:00,1,0.016,2,0.072
1,81,0.002,0.3,45,2,2,1,2024-04-22 17:00,1,0.016,2,0.067
1,79,0.002,0.3,39,2,2,1,2024-04-22 16:00,1,0.012,2,0.065
1,78,0.002,0.3,35,2,2,1,2024-04-22 15:00,1,0.010,2,0.064
1,72,0.002,0.3,39,2,2,1,2024-04-22 14:00,1,0.011,2,0.056
