so2Grade,khaiValue,so2Value,coValue,pm10Value,o3Grade,khaiGrade,no2Grade,dataTime,coGrade,no2Value,pm10Grade,o3Value
1,66,0.002,0.3,26,2,2,1,2024-04-23 11:00,1,0.012,2,0.049
1,61,0.002,0.3,33,2,2,1,2024-04-23 10:00,1,0.015,2,0.043
1,57,0.002,0.3,32,2,2,1,2024-04-23 09:00,1,0.019,2,0.038
1,54,0.002,0.3,38,1,2,1,2024-04-23 08:00,1,0.024,2,0.029
1,53,0.002,0.3,35,1,2,1,2024-04-23 07:00,1,0.020,2,0.024
1,53,0.002,0.3,29,1,2,1,2024-04-23 06:00,1,0.018,2,0.028
1,53,0.002,0.3,29,1,2,1,2024-04-23 05:00,1,0.021,2,0.023
1,55,0.002,0.3,28,2,2,1,2024-04-23 04:00,1,0.010,2,0.036
1,60,0.002,0.3,31,2,2,1,2024-04-23 03:00,1,0.007,2,0.042
1,56,0.002,0.3,28,2,2,1,2024-04-23 02:00,1,0.011,2,0.037
1,58,0.002,0.3,35,2,2,1,2024-04-23 01:00,1,0.013,2,0.036
1,60,0.002,0.3,33,2,2,1,2024-04-22 24:00,1,0.009,2,0.042
1,62,0.002,0.3,35,2,2,1,2024-04-22 23:00,1,0.013,2,0.031
1,63,0.002,0.4,47,2,2,1,2024-04-22 22:00,1,0.022,2,0.036
1,71,0.002,0.3,46,2,2,1,2024-04-22 21:00,1,0.018,2,0.055
1,60,0.002,0.4,47,2,2,1,2024-04-22 20:00,1,0.027,2,0.038
1,63,0.002,0.4,43,2,2,1,2024-04-22 19:00,1,0.023,2,0.045
1,70,0.002,0.3,35,2,2,1,2024-04-22 18:00,1,0.014,2,0.054
1,73,0.002,0.3,35,2,2,1,2024-04-22 17:00,1,0.012,2,0.057
1,73,0.002,0.3,36,2,2,1,2024-04-22 16:00,1,0.009,2,0.058
1,73,0.002,0.3,42,2,2,1,2024-04-22 15:00,1,0.008,2,0.058
1,70,0.002,0.3,36,2,2,1,2024-04-22 14:00,1,0.011,2,0.054
