so2Grade,khaiValue,so2Value,coValue,pm10Value,o3Grade,khaiGrade,no2Grade,dataTime,coGrade,no2Value,pm10Grade,o3Value,coFlag,pm10Flag,no2Flag,o3Flag,so2Flag
1,79,0.002,0.2,22,2,2,1,2024-04-23 12:00,1,0.006,1,0.065,,,,,
1,75,0.002,0.2,28,2,2,1,2024-04-23 11:00,1,0.007,1,0.060,,,,,
1,72,0.002,0.2,29,2,2,1,2024-04-23 10:00,1,0.008,1,0.056,,,,,
1,65,0.003,0.2,21,2,2,1,2024-04-23 09:00,1,0.011,1,0.048,,,,,
1,50,0.003,0.3,24,1,1,1,2024-04-23 08:00,1,0.022,1,0.030,,,,,
1,45,0.003,0.2,32,1,1,1,2024-04-23 07:00,1,0.027,1,0.016,,,,,
1,40,0.003,0.2,19,1,1,1,2024-04-23 06:00,1,0.024,1,0.017,,,,,
1,45,0.003,0.2,28,1,1,1,2024-04-23 05:00,1,0.015,1,0.027,,,,,
1,-,0.002,0.2,19,1,,1,2024-04-23 04:00,1,0.014,1,0.025,,,,,
1,-,0.002,0.1,24,2,,1,2024-04-23 03:00,1,0.010,1,0.040,,,,,
1,-,0.002,0.2,22,2,,1,2024-04-23 02:00,1,0.010,1,0.040,,,,,
1,62,0.003,0.1,20,2,2,1,2024-04-23 01:00,1,0.009,1,0.044,,,,,
1,63,0.003,0.1,21,2,2,1,2024-04-22 24:00,1,0.007,1,0.046,,,,,
1,64,0.003,0.2,18,2,2,1,2024-04-22 23:00,1,0.008,1,0.047,,,,,
1,67,0.003,0.2,28,2,2,1,2024-04-22 22:00,1,0.008,1,0.050,,,,,
1,70,0.003,0.2,29,2,2,1,2024-04-22 21:00,1,0.009,1,0.054,,,,,
1,71,0.002,0.2,23,2,2,1,2024-04-22 20:00,1,0.009,1,0.055,,,,,
1,70,0.003,0.2,22,2,2,1,2024-04-22 19:00,1,0.010,1,0.054,,,,,
1,72,0.003,0.2,18,2,2,1,2024-04-22 18:00,1,0.010,1,0.056,,,,,
1,76,0.002,0.2,22,2,2,1,2024-04-22 17:00,1,0.008,2,0.061,,,,,
,-,-,-,-,,,,2024-04-22 16:00,,-,2,-,통신장애,통신장애,통신장애,통신장애,통신장애
1,80,0.003,0.3,30,2,2,1,2024-04-22 15:00,1,0.007,2,0.066,,,,,
1,78,0.003,0.3,30,2,2,1,2024-04-22 14:00,1,0.007,2,0.064,,,,,
