so2Grade,khaiValue,so2Value,coValue,pm10Value,o3Grade,khaiGrade,no2Grade,dataTime,coGrade,no2Value,pm10Grade,o3Value,coFlag,pm10Flag,no2Flag,o3Flag,so2Flag
1,75,0.001,0.3,24,2,2,1,2024-04-23 11:00,1,0.003,1,0.060,,,,,
1,69,0.001,0.3,28,2,2,1,2024-04-23 10:00,1,0.004,1,0.053,,,,,
1,67,0.001,0.4,26,2,2,1,2024-04-23 09:00,1,0.005,1,0.050,,,,,
1,58,0.001,0.3,20,2,2,1,2024-04-23 08:00,1,0.010,1,0.040,,,,,
1,56,0.001,0.4,18,2,2,1,2024-04-23 07:00,1,0.011,1,0.037,,,,,
1,53,0.001,0.3,21,2,2,1,2024-04-23 06:00,1,0.007,1,0.034,,,,,
1,57,0.001,0.3,19,2,2,1,2024-04-23 05:00,1,0.007,1,0.038,,,,,
1,59,0.001,0.3,18,2,2,1,2024-04-23 04:00,1,0.005,1,0.041,,,,,
1,58,0.001,0.3,22,2,2,1,2024-04-23 03:00,1,0.004,1,0.039,,,,,
1,57,0.001,0.3,24,2,2,1,2024-04-23 02:00,1,0.005,1,0.038,,,,,
1,60,0.001,0.6,26,2,2,1,2024-04-23 01:00,1,0.004,1,0.042,,,,,
1,63,0.001,0.7,25,2,2,1,2024-04-22 24:00,1,0.005,2,0.045,,,,,
1,55,0.001,0.6,30,2,2,1,2024-04-22 23:00,1,0.008,2,0.036,,,,,
1,59,0.001,0.6,32,2,2,1,2024-04-22 22:00,1,0.009,2,0.041,,,,,
1,66,0.001,0.6,32,2,2,1,2024-04-22 21:00,1,0.004,2,0.049,,,,,
1,62,0.001,0.6,33,2,2,1,2024-04-22 20:00,1,0.011,2,0.044,,,,,
1,65,0.001,0.5,33,2,2,1,2024-04-22 19:00,1,0.014,2,0.048,,,,,
1,78,0.001,0.4,28,2,2,1,2024-04-22 18:00,1,0.004,2,0.064,,,,,
1,79,0.001,0.3,31,2,2,1,2024-04-22 17:00,1,0.003,2,0.065,,,,,
1,-,0.001,0.2,37,2,,1,2024-04-22 16:00,1,0.003,,0.066,,,,,
1,-,0.001,0.2,39,2,,1,2024-04-22 15:00,1,0.003,,0.067,,,,,
,-,-,-,-,,,,2024-04-22 14:00,,-,,-,통신장애,통신장애,통신장애,통신장애,통신장애
