so2Grade,khaiValue,so2Value,coValue,pm10Value,o3Grade,khaiGrade,no2Grade,dataTime,coGrade,no2Value,pm10Grade,o3Value
1,74,0.006,0.5,33,2,2,1,2024-04-23 12:00,1,0.007,1,0.059
1,68,0.006,0.6,30,2,2,1,2024-04-23 11:00,1,0.008,1,0.052
1,70,0.004,0.4,18,2,2,1,2024-04-23 10:00,1,0.005,1,0.054
1,66,0.003,0.3,25,2,2,1,2024-04-23 09:00,1,0.006,1,0.049
1,47,0.003,0.3,43,1,1,1,2024-04-23 08:00,1,0.012,1,0.023
1,42,0.003,0.3,27,1,1,1,2024-04-23 07:00,1,0.011,1,0.006
1,42,0.003,0.3,23,1,1,1,2024-04-23 06:00,1,0.007,1,0.010
1,42,0.003,0.3,20,1,1,1,2024-04-23 05:00,1,0.006,1,0.011
1,45,0.003,0.3,22,1,1,1,2024-04-23 04:00,1,0.006,1,0.009
1,48,0.003,0.3,27,1,1,1,2024-04-23 03:00,1,0.005,1,0.008
1,48,0.003,0.3,25,1,1,1,2024-04-23 02:00,1,0.006,1,0.011
1,50,0.003,0.3,29,1,1,1,2024-04-23 01:00,1,0.006,1,0.015
1,50,0.003,0.3,25,1,1,1,2024-04-22 24:00,1,0.006,1,0.020
1,52,0.003,0.3,30,2,2,1,2024-04-22 23:00,1,0.006,2,0.032
1,56,0.003,0.3,29,2,2,1,2024-04-22 22:00,1,0.005,2,0.037
1,55,0.003,0.3,30,2,2,1,2024-04-22 21:00,1,0.006,2,0.036
1,55,0.003,0.4,30,2,2,1,2024-04-22 20:00,1,0.007,2,0.036
1,57,0.004,0.4,28,2,2,1,2024-04-22 19:00,1,0.008,2,0.038
1,58,0.006,0.6,34,2,2,1,2024-04-22 18:00,1,0.009,2,0.039
1,58,0.008,0.7,39,2,2,1,2024-04-22 17:00,1,0.010,2,0.040
1,61,0.009,0.8,41,2,2,1,2024-04-22 16:00,1,0.009,2,0.043
1,62,0.010,0.9,34,2,2,1,2024-04-22 15:00,1,0.010,2,0.044
1,59,0.005,0.5,32,2,2,1,2024-04-22 14:00,1,0.008,2,0.041
