so2Grade,khaiValue,so2Value,coValue,pm10Value,o3Grade,khaiGrade,no2Grade,dataTime,coGrade,no2Value,pm10Grade,o3Value
1,70,0.001,0.2,19,2,2,1,2024-04-23 11:00,1,0.006,1,0.054
1,68,0.001,0.2,23,2,2,1,2024-04-23 10:00,1,0.007,1,0.051
1,61,0.001,0.2,20,2,2,1,2024-04-23 09:00,1,0.013,1,0.043
1,55,0.001,0.3,21,2,2,1,2024-04-23 08:00,1,0.020,1,0.036
1,47,0.001,0.3,20,1,1,1,2024-04-23 07:00,1,0.024,1,0.028
1,53,0.001,0.3,20,2,2,1,2024-04-23 06:00,1,0.015,1,0.034
1,53,0.001,0.3,23,2,2,1,2024-04-23 05:00,1,0.011,1,0.034
1,57,0.001,0.3,21,2,2,1,2024-04-23 04:00,1,0.008,1,0.038
1,55,0.001,0.3,23,2,2,1,2024-04-23 03:00,1,0.009,1,0.036
1,53,0.001,0.3,26,2,2,1,2024-04-23 02:00,1,0.010,1,0.033
1,51,0.001,0.3,31,1,2,1,2024-04-23 01:00,1,0.014,2,0.030
1,51,0.001,0.3,31,1,2,1,2024-04-22 24:00,1,0.015,2,0.029
1,58,0.001,0.3,34,2,2,1,2024-04-22 23:00,1,0.010,2,0.039
1,57,0.001,0.3,29,2,2,1,2024-04-22 22:00,1,0.014,1,0.038
1,58,0.001,0.3,29,2,2,1,2024-04-22 21:00,1,0.014,1,0.040
1,61,0.001,0.2,32,2,2,1,2024-04-22 20:00,1,0.017,2,0.043
1,72,0.001,0.2,30,2,2,1,2024-04-22 19:00,1,0.011,2,0.056
1,77,0.001,0.2,27,2,2,1,2024-04-22 18:00,1,0.007,2,0.062
1,78,0.001,0.2,32,2,2,1,2024-04-22 17:00,1,0.004,2,0.064
1,78,0.001,0.2,33,2,2,1,2024-04-22 16:00,1,0.005,2,0.063
1,76,0.001,0.2,31,2,2,1,2024-04-22 15:00,1,0.007,2,0.061
1,73,0.001,0.2,29,2,2,1,2024-04-22 14:00,1,0.010,2,0.057
