so2Grade,khaiValue,so2Value,coValue,pm10Value,o3Grade,khaiGrade,no2Grade,dataTime,coGrade,no2Value,pm10Grade,o3Value
1,94,0.001,0.2,48,2,2,1,2024-04-23 11:00,1,0.007,2,0.058
1,101,0.002,0.2,46,2,3,1,2024-04-23 10:00,1,0.006,3,0.058
1,114,0.004,0.2,66,2,3,1,2024-04-23 09:00,1,0.007,3,0.054
1,123,0.004,0.2,58,2,3,1,2024-04-23 08:00,1,0.007,3,0.054
1,138,0.004,0.3,100,2,3,1,2024-04-23 07:00,1,0.007,3,0.051
1,129,0.002,0.3,96,2,3,1,2024-04-23 06:00,1,0.005,3,0.052
1,133,0.005,0.2,128,2,3,1,2024-04-23 05:00,1,0.005,3,0.051
1,125,0.001,0.3,122,2,3,1,2024-04-23 04:00,1,0.005,3,0.045
1,118,0.001,0.2,78,2,3,1,2024-04-23 03:00,1,0.005,3,0.044
1,175,0.001,0.3,132,2,3,1,2024-04-23 02:00,1,0.005,3,0.037
1,120,0.002,0.5,119,2,3,1,2024-04-23 01:00,1,0.005,3,0.033
1,107,0.001,0.4,123,2,3,1,2024-04-22 24:00,1,0.005,3,0.035
1,97,0.001,0.5,146,2,2,1,2024-04-22 23:00,1,0.005,2,0.034
1,87,0.001,0.3,97,2,2,1,2024-04-22 22:00,1,0.008,2,0.036
1,85,0.001,0.2,80,2,2,1,2024-04-22 21:00,1,0.012,2,0.040
1,85,0.001,0.2,63,2,2,1,2024-04-22 20:00,1,0.015,2,0.041
1,85,0.001,0.2,56,2,2,1,2024-04-22 19:00,1,0.011,2,0.047
1,85,0.001,0.2,57,2,2,1,2024-04-22 18:00,1,0.014,2,0.050
1,87,0.001,0.2,59,2,2,1,2024-04-22 17:00,1,0.016,2,0.047
1,87,0.001,0.2,56,2,2,1,2024-04-22 16:00,1,0.014,2,0.048
1,87,0.001,0.2,55,2,2,1,2024-04-22 15:00,1,0.011,2,0.051
1,88,0.001,0.2,52,2,2,1,2024-04-22 14:00,1,0.010,2,0.052
