so2Grade,khaiValue,so2Value,coValue,pm10Value,o3Grade,khaiGrade,no2Grade,dataTime,coGrade,no2Value,pm10Grade,o3Value
1,71,0.002,0.2,16,2,2,1,2024-04-23 11:00,1,0.005,1,0.055
1,67,0.002,0.2,16,2,2,1,2024-04-23 10:00,1,0.006,1,0.050
1,63,0.002,0.2,15,2,2,1,2024-04-23 09:00,1,0.009,1,0.046
1,57,0.002,0.3,15,2,2,1,2024-04-23 08:00,1,0.015,1,0.038
1,55,0.003,0.3,19,2,2,1,2024-04-23 07:00,1,0.011,1,0.036
1,56,0.003,0.3,19,2,2,1,2024-04-23 06:00,1,0.010,1,0.037
1,53,0.005,0.2,17,2,2,1,2024-04-23 05:00,1,0.011,1,0.034
1,59,0.002,0.2,17,2,2,1,2024-04-23 04:00,1,0.006,1,0.041
1,61,0.002,0.3,18,2,2,1,2024-04-23 03:00,1,0.006,1,0.043
1,58,0.002,0.3,15,2,2,1,2024-04-23 02:00,1,0.007,1,0.039
1,63,0.002,0.2,18,2,2,1,2024-04-23 01:00,1,0.005,1,0.046
1,64,0.002,0.2,11,2,2,1,2024-04-22 24:00,1,0.004,1,0.047
1,64,0.002,0.2,18,2,2,1,2024-04-22 23:00,1,0.004,1,0.047
1,63,0.002,0.2,21,2,2,1,2024-04-22 22:00,1,0.006,1,0.045
1,62,0.002,0.2,18,2,2,1,2024-04-22 21:00,1,0.007,1,0.044
1,63,0.002,0.2,27,2,2,1,2024-04-22 20:00,1,0.006,1,0.046
1,73,0.002,0.2,24,2,2,1,2024-04-22 19:00,1,0.004,1,0.058
1,74,0.002,0.2,20,2,2,1,2024-04-22 18:00,1,0.004,1,0.059
1,74,0.002,0.2,27,2,2,1,2024-04-22 17:00,1,0.004,1,0.059
1,73,0.002,0.2,26,2,2,1,2024-04-22 16:00,1,0.005,1,0.058
1,73,0.002,0.2,29,2,2,1,2024-04-22 15:00,1,0.006,1,0.058
1,72,0.003,0.2,26,2,2,1,2024-04-22 14:00,1,0.007,1,0.056
1,72,0.002,0.2,30,2,2,1,2024-04-22 13:00,1,0.006,1,0.056
