so2Grade,khaiValue,so2Value,coValue,pm10Value,o3Grade,khaiGrade,no2Grade,dataTime,coGrade,no2Value,pm10Grade,o3Value
1,63,0.005,0.5,28,2,2,1,2024-04-23 11:00,1,0.005,1,0.046
1,61,0.003,0.5,25,2,2,1,2024-04-23 10:00,1,0.004,1,0.043
1,58,0.002,0.4,25,2,2,1,2024-04-23 09:00,1,0.003,1,0.040
1,42,0.002,0.4,27,1,1,1,2024-04-23 08:00,1,0.009,1,0.025
1,40,0.002,0.5,22,1,1,1,2024-04-23 07:00,1,0.008,1,0.011
1,43,0.002,0.5,24,1,1,1,2024-04-23 06:00,1,0.005,1,0.016
1,43,0.003,0.5,21,1,1,1,2024-04-23 05:00,1,0.004,1,0.018
1,43,0.003,0.5,23,1,1,1,2024-04-23 04:00,1,0.004,1,0.022
1,45,0.003,0.4,25,1,1,1,2024-04-23 03:00,1,0.004,1,0.027
1,45,0.003,0.4,23,1,1,1,2024-04-23 02:00,1,0.004,1,0.027
1,43,0.002,0.4,22,1,1,1,2024-04-23 01:00,1,0.004,1,0.019
1,43,0.002,0.4,25,1,1,1,2024-04-22 24:00,1,0.004,1,0.020
1,47,0.003,0.4,20,1,1,1,2024-04-22 23:00,1,0.004,1,0.027
1,48,0.003,0.4,25,1,1,1,2024-04-22 22:00,1,0.005,1,0.028
1,51,0.003,0.5,25,1,2,1,2024-04-22 21:00,1,0.005,2,0.030
1,51,0.003,0.5,23,2,2,1,2024-04-22 20:00,1,0.005,2,0.031
1,52,0.004,0.5,41,2,2,1,2024-04-22 19:00,1,0.007,2,0.032
1,56,0.007,0.7,40,2,2,1,2024-04-22 18:00,1,0.009,2,0.037
1,60,0.005,0.6,27,2,2,1,2024-04-22 17:00,1,0.007,1,0.042
1,67,0.005,0.6,34,2,2,1,2024-04-22 16:00,1,0.006,1,0.050
1,62,0.007,0.8,33,2,2,1,2024-04-22 15:00,1,0.010,1,0.044
1,57,0.004,0.6,23,2,2,1,2024-04-22 14:00,1,0.006,1,0.038
1,58,0.003,0.4,27,2,2,1,2024-04-22 13:00,1,0.004,1,0.040
