so2Grade,khaiValue,so2Value,coValue,pm10Value,o3Grade,khaiGrade,no2Grade,dataTime,coGrade,no2Value,pm10Grade,o3Value,coFlag,pm10Flag,no2Flag,o3Flag,so2Flag
1,65,0.001,0.3,23,2,2,1,2024-04-23 12:00,1,0.013,1,0.048,,,,,
1,60,0.001,0.3,27,2,2,1,2024-04-23 11:00,1,0.014,1,0.042,,,,,
1,58,0.002,0.3,22,2,2,1,2024-04-23 10:00,1,0.016,1,0.039,,,,,
1,58,0.001,0.4,27,2,2,1,2024-04-23 09:00,1,0.012,1,0.039,,,,,
1,51,0.001,0.4,33,2,2,1,2024-04-23 08:00,1,0.019,1,0.031,,,,,
1,48,0.002,0.4,16,1,1,1,2024-04-23 07:00,1,0.029,1,0.021,,,,,
1,37,0.002,0.4,21,1,1,1,2024-04-23 06:00,1,0.021,1,0.022,,,,,
1,48,0.001,0.3,14,1,1,1,2024-04-23 05:00,1,0.011,1,0.029,,,,,
1,53,0.001,0.3,20,2,2,1,2024-04-23 04:00,1,0.010,1,0.034,,,,,
1,57,0.001,0.3,14,2,2,1,2024-04-23 03:00,1,0.009,1,0.038,,,,,
1,59,0.001,0.3,18,2,2,1,2024-04-23 02:00,1,0.008,1,0.041,,,,,
1,58,0.001,0.3,20,2,2,1,2024-04-23 01:00,1,0.009,1,0.040,,,,,
1,60,0.001,0.3,21,2,2,1,2024-04-22 24:00,1,0.009,1,0.042,,,,,
1,55,0.001,0.3,27,2,2,1,2024-04-22 23:00,1,0.013,1,0.036,,,,,
1,52,0.001,0.4,25,2,2,1,2024-04-22 22:00,1,0.016,2,0.032,,,,,
1,54,0.001,0.4,23,2,2,1,2024-04-22 21:00,1,0.014,2,0.035,,,,,
1,55,0.001,0.4,31,2,2,1,2024-04-22 20:00,1,0.017,2,0.034,,,,,
1,57,0.002,0.5,31,2,2,1,2024-04-22 19:00,1,0.020,2,0.038,,,,,
1,57,0.002,0.4,33,2,2,1,2024-04-22 18:00,1,0.018,2,0.038,,,,,
1,-,0.002,0.4,25,2,,1,2024-04-22 17:00,1,0.014,,0.042,,,,,
1,-,0.001,0.3,32,2,,1,2024-04-22 16:00,1,0.010,,0.043,,,,,
,-,-,-,-,,,,2024-04-22 15:00,,-,,-,통신장애,통신장애,통신장애,통신장애,통신장애
,-,-,-,-,,,,2024-04-22 14:00,,-,2,-,통신장애,통신장애,통신장애,통신장애,통신장애
