so2Grade,khaiValue,so2Value,coValue,pm10Value,o3Grade,khaiGrade,no2Grade,dataTime,coGrade,no2Value,pm10Grade,o3Value
1,77,0.002,0.2,15,2,2,1,2024-04-23 11:00,1,0.004,1,0.062
1,71,0.002,0.2,12,2,2,1,2024-04-23 10:00,1,0.005,1,0.055
1,68,0.002,0.2,14,2,2,1,2024-04-23 09:00,1,0.006,1,0.051
1,63,0.003,0.2,13,2,2,1,2024-04-23 08:00,1,0.009,1,0.045
1,54,0.003,0.3,11,2,2,1,2024-04-23 07:00,1,0.015,1,0.035
1,62,0.004,0.2,14,2,2,1,2024-04-23 06:00,1,0.008,1,0.044
1,60,0.003,0.2,14,2,2,1,2024-04-23 05:00,1,0.006,2,0.042
1,55,0.003,0.2,19,2,2,1,2024-04-23 04:00,1,0.008,2,0.032
1,60,0.003,0.2,22,2,2,1,2024-04-23 03:00,1,0.007,2,0.035
1,64,0.002,0.3,31,2,2,1,2024-04-23 02:00,1,0.008,2,0.037
1,68,0.003,0.3,32,1,2,1,2024-04-23 01:00,1,0.016,2,0.027
1,71,0.002,0.3,52,2,2,1,2024-04-22 24:00,1,0.015,2,0.036
1,71,0.002,0.3,51,2,2,1,2024-04-22 23:00,1,0.012,2,0.052
1,77,0.003,0.3,55,2,2,1,2024-04-22 22:00,1,0.014,2,0.062
1,73,0.003,0.3,52,2,2,1,2024-04-22 21:00,1,0.017,2,0.057
1,79,0.003,0.3,59,2,2,1,2024-04-22 20:00,1,0.016,2,0.065
1,87,0.002,0.2,54,2,2,1,2024-04-22 19:00,1,0.009,2,0.074
1,84,0.002,0.2,46,2,2,1,2024-04-22 18:00,1,0.006,2,0.071
1,87,0.002,0.2,50,2,2,1,2024-04-22 17:00,1,0.004,2,0.074
1,87,0.002,0.1,36,2,2,1,2024-04-22 16:00,1,0.004,2,0.074
1,87,0.002,0.2,42,2,2,1,2024-04-22 15:00,1,0.004,2,0.074
1,83,0.002,0.2,47,2,2,1,2024-04-22 14:00,1,0.004,2,0.070
1,78,0.002,0.2,39,2,2,1,2024-04-22 13:00,1,0.004,2,0.064
