so2Grade,khaiValue,so2Value,coValue,pm10Value,o3Grade,khaiGrade,no2Grade,dataTime,coGrade,no2Value,pm10Grade,o3Value
1,73,0.001,0.3,20,2,2,1,2024-04-23 11:00,1,0.005,1,0.058
1,69,0.001,0.3,23,2,2,1,2024-04-23 10:00,1,0.006,1,0.053
1,68,0.001,0.3,29,2,2,1,2024-04-23 09:00,1,0.005,1,0.051
1,43,0.002,0.3,24,1,1,1,2024-04-23 08:00,1,0.016,1,0.026
1,43,0.001,0.3,28,1,1,1,2024-04-23 07:00,1,0.011,1,0.018
1,43,0.001,0.3,19,1,1,1,2024-04-23 06:00,1,0.007,1,0.026
1,45,0.001,0.3,18,1,1,1,2024-04-23 05:00,1,0.006,1,0.027
1,45,0.001,0.3,24,1,1,1,2024-04-23 04:00,1,0.006,1,0.022
1,45,0.001,0.3,22,1,1,1,2024-04-23 03:00,1,0.006,1,0.023
1,47,0.001,0.3,23,1,1,1,2024-04-23 02:00,1,0.006,1,0.027
1,50,0.001,0.3,25,1,1,1,2024-04-23 01:00,1,0.006,1,0.025
1,52,0.001,0.3,24,1,2,1,2024-04-22 24:00,1,0.008,2,0.030
1,56,0.001,0.3,26,2,2,1,2024-04-22 23:00,1,0.009,2,0.031
1,55,0.002,0.4,37,1,2,1,2024-04-22 22:00,1,0.015,2,0.020
1,54,0.002,0.4,44,2,2,1,2024-04-22 21:00,1,0.017,2,0.031
1,52,0.002,0.4,43,1,2,1,2024-04-22 20:00,1,0.019,2,0.028
1,51,0.001,0.3,26,2,2,1,2024-04-22 19:00,1,0.015,1,0.031
1,53,0.002,0.3,32,2,2,1,2024-04-22 18:00,1,0.012,1,0.034
1,61,0.002,0.3,30,2,2,1,2024-04-22 17:00,1,0.013,1,0.043
1,63,0.002,0.3,26,2,2,1,2024-04-22 16:00,1,0.010,1,0.045
1,66,0.001,0.3,28,2,2,1,2024-04-22 15:00,1,0.007,1,0.049
1,64,0.001,0.3,25,2,2,1,2024-04-22 14:00,1,0.006,1,0.047
