so2Grade,khaiValue,so2Value,coValue,pm10Value,o3Grade,khaiGrade,no2Grade,dataTime,coGrade,no2Value,pm10Grade,o3Value
1,79,0.001,0.3,24,2,2,1,2024-04-23 12:00,1,0.006,1,0.065
1,77,0.001,0.4,20,2,2,1,2024-04-23 11:00,1,0.008,1,0.062
1,72,0.001,0.4,23,2,2,1,2024-04-23 10:00,1,0.009,1,0.056
1,67,0.001,0.4,25,2,2,1,2024-04-23 09:00,1,0.012,1,0.050
1,56,0.001,0.4,27,2,2,1,2024-04-23 08:00,1,0.021,1,0.037
1,45,0.001,0.4,19,1,1,1,2024-04-23 07:00,1,0.027,1,0.023
1,53,0.001,0.4,20,2,2,1,2024-04-23 06:00,1,0.016,1,0.034
1,55,0.001,0.4,21,2,2,1,2024-04-23 05:00,1,0.012,1,0.036
1,63,0.001,0.3,19,2,2,1,2024-04-23 04:00,1,0.007,1,0.045
1,67,0.001,0.3,16,2,2,1,2024-04-23 03:00,1,0.007,1,0.050
1,68,0.001,0.3,24,2,2,1,2024-04-23 02:00,1,0.007,1,0.051
1,70,0.001,0.4,25,2,2,1,2024-04-23 01:00,1,0.007,1,0.054
1,68,0.001,0.3,27,2,2,1,2024-04-22 24:00,1,0.008,2,0.052
1,70,0.001,0.3,27,2,2,1,2024-04-22 23:00,1,0.008,2,0.054
1,64,0.001,0.4,32,2,2,1,2024-04-22 22:00,1,0.012,2,0.047
1,63,0.001,0.4,34,2,2,1,2024-04-22 21:00,1,0.015,2,0.045
1,66,0.001,0.4,41,2,2,1,2024-04-22 20:00,1,0.014,2,0.049
1,68,0.001,0.4,36,2,2,1,2024-04-22 19:00,1,0.014,2,0.052
1,71,0.001,0.4,34,2,2,1,2024-04-22 18:00,1,0.012,2,0.055
1,73,0.001,0.4,27,2,2,1,2024-04-22 17:00,1,0.010,2,0.057
1,73,0.001,0.3,28,2,2,1,2024-04-22 16:00,1,0.008,2,0.057
1,73,0.001,0.3,27,2,2,1,2024-04-22 15:00,1,0.008,2,0.058
1,74,0.001,0.3,30,2,2,1,2024-04-22 14:00,1,0.007,2,0.059
