so2Grade,khaiValue,so2Value,coValue,pm10Value,o3Grade,khaiGrade,no2Grade,dataTime,coGrade,no2Value,pm10Grade,o3Value
1,69,0.001,0.3,17,2,2,1,2024-04-23 11:00,1,0.007,1,0.053
1,66,0.001,0.4,16,2,2,1,2024-04-23 10:00,1,0.007,1,0.049
1,60,0.001,0.3,16,2,2,1,2024-04-23 09:00,1,0.008,1,0.042
1,60,0.001,0.3,16,2,2,1,2024-04-23 08:00,1,0.006,1,0.042
1,58,0.001,0.3,18,2,2,1,2024-04-23 07:00,1,0.006,1,0.040
1,57,0.001,0.3,18,2,2,1,2024-04-23 06:00,1,0.006,1,0.038
1,54,0.001,0.3,24,2,2,1,2024-04-23 05:00,1,0.006,1,0.035
1,53,0.001,0.3,23,2,2,1,2024-04-23 04:00,1,0.006,1,0.033
1,52,0.001,0.3,27,2,2,1,2024-04-23 03:00,1,0.006,1,0.032
1,51,0.001,0.3,32,2,2,1,2024-04-23 02:00,1,0.007,1,0.031
1,53,0.001,0.3,31,2,2,1,2024-04-23 01:00,1,0.007,1,0.034
1,60,0.001,0.3,20,2,2,1,2024-04-22 24:00,1,0.007,1,0.042
1,66,0.001,0.3,18,2,2,1,2024-04-22 23:00,1,0.005,1,0.049
1,68,0.001,0.3,22,2,2,1,2024-04-22 22:00,1,0.005,1,0.051
1,66,0.001,0.3,27,2,2,1,2024-04-22 21:00,1,0.005,1,0.049
1,61,0.001,0.3,28,2,2,1,2024-04-22 20:00,1,0.009,1,0.043
1,63,0.001,0.3,29,2,2,1,2024-04-22 19:00,1,0.013,1,0.045
1,73,0.001,0.3,28,2,2,1,2024-04-22 18:00,1,0.009,1,0.057
1,75,0.001,0.3,23,2,2,1,2024-04-22 17:00,1,0.008,1,0.060
1,78,0.001,0.3,24,2,2,1,2024-04-22 16:00,1,0.007,1,0.063
1,78,0.001,0.3,24,2,2,1,2024-04-22 15:00,1,0.006,1,0.063
1,75,0.001,0.3,27,2,2,1,2024-04-22 14:00,1,0.006,1,0.060
1,73,0.001,0.3,27,2,2,1,2024-04-22 13:00,1,0.006,1,0.057
