so2Grade,khaiValue,so2Value,coValue,pm10Value,o3Grade,no2Flag,dataTime,coGrade,no2Value,pm10Grade,o3Value
1,-,0.002,0.3,14,2,통신장애,2024-04-23 12:00,1,-,1,0.059
1,-,0.002,0.4,19,2,통신장애,2024-04-23 11:00,1,-,1,0.065
1,-,0.002,0.4,22,2,통신장애,2024-04-23 10:00,1,-,1,0.062
1,-,0.002,0.4,19,1,통신장애,2024-04-23 09:00,1,-,1,0.027
1,-,0.002,0.4,19,1,통신장애,2024-04-23 08:00,1,-,1,0.014
1,-,0.002,0.4,17,1,통신장애,2024-04-23 07:00,1,-,1,0.012
1,-,0.002,0.4,20,1,통신장애,2024-04-23 06:00,1,-,1,0.012
1,-,0.002,0.4,17,1,통신장애,2024-04-23 05:00,1,-,1,0.013
1,-,0.002,0.4,20,1,통신장애,2024-04-23 04:00,1,-,1,0.014
1,-,0.002,0.4,19,1,통신장애,2024-04-23 03:00,1,-,1,0.017
1,-,0.002,0.4,12,1,통신장애,2024-04-23 02:00,1,-,1,0.023
1,-,0.002,0.4,6,1,통신장애,2024-04-23 01:00,1,-,1,0.030
1,-,0.002,0.4,14,2,통신장애,2024-04-22 24:00,1,-,1,0.041
1,-,0.002,0.4,14,2,통신장애,2024-04-22 23:00,1,-,1,0.047
1,-,0.002,0.4,13,2,통신장애,2024-04-22 22:00,1,-,1,0.051
1,-,0.002,0.4,17,2,통신장애,2024-04-22 21:00,1,-,1,0.053
1,-,0.002,0.4,19,2,통신장애,2024-04-22 20:00,1,-,1,0.053
1,-,0.002,0.4,22,2,통신장애,2024-04-22 19:00,1,-,1,0.054
1,-,0.002,0.4,21,2,통신장애,2024-04-22 18:00,1,-,1,0.051
1,-,0.002,0.3,15,2,통신장애,2024-04-22 17:00,1,-,1,0.052
1,-,0.002,0.3,21,2,통신장애,2024-04-22 16:00,1,-,1,0.053
1,-,0.002,0.3,22,2,통신장애,2024-04-22 15:00,1,-,1,0.054
1,-,0.002,0.3,18,2,통신장애,2024-04-22 14:00,1,-,1,0.059
