so2Grade,khaiValue,so2Value,coValue,pm10Value,o3Grade,khaiGrade,no2Grade,dataTime,coGrade,no2Value,pm10Grade,o3Value,coFlag,pm10Flag,no2Flag,o3Flag,so2Flag
1,71,0.002,0.3,22,2,2,1,2024-04-23 11:00,1,0.007,1,0.055,,,,,
1,68,0.002,0.3,22,2,2,1,2024-04-23 10:00,1,0.008,1,0.052,,,,,
1,66,0.002,0.3,26,2,2,1,2024-04-23 09:00,1,0.009,1,0.049,,,,,
1,59,0.002,0.3,28,2,2,1,2024-04-23 08:00,1,0.014,1,0.041,,,,,
1,48,0.002,0.3,24,1,1,1,2024-04-23 07:00,1,0.029,1,0.015,,,,,
1,43,0.002,0.3,21,1,1,1,2024-04-23 06:00,1,0.023,1,0.011,,,,,
1,43,0.002,0.3,23,1,1,1,2024-04-23 05:00,1,0.017,1,0.019,,,,,
1,42,0.002,0.3,22,1,1,1,2024-04-23 04:00,1,0.013,1,0.019,,,,,
1,43,0.002,0.3,20,1,1,1,2024-04-23 03:00,1,0.012,1,0.023,,,,,
1,51,0.002,0.3,24,2,2,1,2024-04-23 02:00,1,0.011,1,0.031,,,,,
1,53,0.002,0.3,24,2,2,1,2024-04-23 01:00,1,0.012,1,0.034,,,,,
1,54,0.002,0.3,29,2,2,1,2024-04-22 24:00,1,0.012,2,0.034,,,,,
1,-,0.002,0.3,38,1,,1,2024-04-22 23:00,1,0.016,2,0.028,,,,,
1,-,0.002,0.3,35,1,,1,2024-04-22 22:00,1,0.016,1,0.025,,,,,
1,-,0.002,0.3,30,2,,1,2024-04-22 21:00,1,0.014,1,0.034,,,,,
1,-,0.002,0.3,27,2,,1,2024-04-22 20:00,1,0.010,1,0.047,,,,,
1,-,0.002,0.3,25,2,,1,2024-04-22 19:00,1,0.007,1,0.054,,,,,
1,-,0.002,0.3,26,2,,1,2024-04-22 18:00,1,0.008,2,0.054,,,,,
1,-,0.002,0.3,27,2,,1,2024-04-22 17:00,1,0.008,2,0.051,,,,,
1,-,0.002,0.3,28,2,,1,2024-04-22 16:00,1,0.007,2,0.051,,,,,
,-,-,-,-,,,,2024-04-22 15:00,,-,2,-,통신장애,통신장애,통신장애,통신장애,통신장애
,-,-,-,28,,,,2024-04-22 14:00,,-,2,-,통신장애,,통신장애,통신장애,통신장애
