so2Grade,khaiValue,so2Value,coValue,pm10Value,o3Grade,khaiGrade,no2Grade,dataTime,coGrade,no2Value,pm10Grade,o3Value,so2Flag
1,72,0.002,0.2,24,2,2,1,2024-04-23 11:00,1,0.008,1,0.056,
1,67,0.002,0.3,17,2,2,1,2024-04-23 10:00,1,0.010,1,0.050,
1,64,0.002,0.3,17,2,2,1,2024-04-23 09:00,1,0.011,1,0.047,
1,61,0.002,0.3,17,2,2,1,2024-04-23 08:00,1,0.014,1,0.043,
1,61,0.002,0.3,23,2,2,1,2024-04-23 07:00,1,0.015,1,0.043,
1,53,0.002,0.3,25,1,2,2,2024-04-23 06:00,1,0.032,1,0.025,
1,58,0.002,0.2,19,2,2,1,2024-04-23 05:00,1,0.013,1,0.040,
1,60,0.002,0.2,21,2,2,1,2024-04-23 04:00,1,0.008,1,0.042,
1,58,0.002,0.2,24,2,2,1,2024-04-23 03:00,1,0.010,2,0.040,
1,53,0.002,0.3,30,2,2,1,2024-04-23 02:00,1,0.016,2,0.034,
1,55,0.002,0.3,35,2,2,1,2024-04-23 01:00,1,0.021,2,0.036,
1,54,0.002,0.4,36,2,2,2,2024-04-22 24:00,1,0.031,2,0.032,
1,66,0.003,0.3,41,2,2,1,2024-04-22 23:00,1,0.023,2,0.049,
1,65,0.003,0.3,40,2,2,1,2024-04-22 22:00,1,0.027,1,0.048,
1,66,0.002,0.4,38,2,2,2,2024-04-22 21:00,1,0.033,1,0.049,
1,73,0.002,0.3,33,2,2,1,2024-04-22 20:00,1,0.030,1,0.057,
1,78,0.002,0.3,21,2,2,1,2024-04-22 19:00,1,0.008,1,0.064,
1,82,0.004,0.2,24,2,2,1,2024-04-22 18:00,1,0.006,1,0.068,
,82,-,0.2,26,2,2,1,2024-04-22 17:00,1,0.005,1,0.068,통신장애
,81,-,0.2,21,2,2,1,2024-04-22 16:00,1,0.004,1,0.067,통신장애
1,81,0.002,0.2,25,2,2,1,2024-04-22 15:00,1,0.004,1,0.067,
1,78,0.002,0.2,24,2,2,1,2024-04-22 14:00,1,0.005,1,0.064,
