so2Grade,khaiValue,so2Value,coValue,pm10Value,o3Grade,khaiGrade,no2Grade,dataTime,coGrade,no2Value,pm10Grade,o3Value
1,69,0.002,0.3,42,2,2,1,2024-04-23 10:00,1,0.010,2,0.053
1,66,0.002,0.3,33,2,2,1,2024-04-23 09:00,1,0.012,2,0.049
1,64,0.002,0.3,30,2,2,1,2024-04-23 08:00,1,0.014,2,0.047
1,63,0.002,0.3,26,2,2,1,2024-04-23 07:00,1,0.013,2,0.045
1,67,0.002,0.2,27,2,2,1,2024-04-23 06:00,1,0.008,2,0.050
1,69,0.002,0.2,20,2,2,1,2024-04-23 05:00,1,0.005,2,0.053
1,68,0.002,0.2,26,2,2,1,2024-04-23 04:00,1,0.005,2,0.051
1,68,0.002,0.2,27,2,2,1,2024-04-23 03:00,1,0.005,2,0.051
1,66,0.002,0.2,32,2,2,1,2024-04-23 02:00,1,0.006,2,0.048
1,68,0.002,0.3,36,2,2,1,2024-04-23 01:00,1,0.010,2,0.045
1,69,0.003,0.3,60,2,2,1,2024-04-22 24:00,1,0.021,2,0.044
1,67,0.002,0.3,60,2,2,1,2024-04-22 23:00,1,0.018,2,0.047
1,64,0.002,0.3,52,2,2,1,2024-04-22 22:00,1,0.020,2,0.043
1,62,0.002,0.4,43,2,2,1,2024-04-22 21:00,1,0.025,2,0.042
1,74,0.002,0.3,41,2,2,1,2024-04-22 20:00,1,0.013,2,0.059
1,75,0.002,0.3,43,2,2,1,2024-04-22 19:00,1,0.010,2,0.060
1,78,0.002,0.3,40,2,2,1,2024-04-22 18:00,1,0.007,2,0.064
1,78,0.002,0.3,40,2,2,1,2024-04-22 17:00,1,0.007,2,0.064
1,78,0.002,0.2,39,2,2,1,2024-04-22 16:00,1,0.007,2,0.064
1,78,0.002,0.2,44,2,2,1,2024-04-22 15:00,1,0.007,2,0.063
1,77,0.002,0.3,38,2,2,1,2024-04-22 14:00,1,0.008,2,0.062
1,74,0.002,0.3,38,2,2,1,2024-04-22 13:00,1,0.008,2,0.059
1,68,0.002,0.3,61,2,2,1,2024-04-22 12:00,1,0.012,2,0.052
