so2Grade,khaiValue,so2Value,coValue,pm10Value,o3Grade,khaiGrade,no2Grade,dataTime,coGrade,no2Value,pm10Grade,o3Value
1,76,0.003,0.3,27,2,2,1,2024-04-23 11:00,1,0.004,1,0.061
1,69,0.003,0.3,20,2,2,1,2024-04-23 10:00,1,0.006,1,0.053
1,69,0.003,0.3,25,2,2,1,2024-04-23 09:00,1,0.005,1,0.053
1,63,0.003,0.3,24,2,2,1,2024-04-23 08:00,1,0.009,1,0.046
1,59,0.003,0.3,25,2,2,1,2024-04-23 07:00,1,0.013,1,0.041
1,63,0.003,0.3,19,2,2,1,2024-04-23 06:00,1,0.008,1,0.046
1,67,0.003,0.3,20,2,2,1,2024-04-23 05:00,1,0.006,1,0.050
1,68,0.003,0.3,25,2,2,1,2024-04-23 04:00,1,0.005,1,0.051
1,67,0.003,0.3,19,2,2,1,2024-04-23 03:00,1,0.005,1,0.050
1,67,0.003,0.3,20,2,2,1,2024-04-23 02:00,1,0.005,1,0.050
1,67,0.003,0.3,26,2,2,1,2024-04-23 01:00,1,0.004,2,0.050
1,64,0.003,0.3,27,2,2,1,2024-04-22 24:00,1,0.006,2,0.046
1,66,0.003,0.3,28,2,2,1,2024-04-22 23:00,1,0.007,2,0.047
1,67,0.003,0.3,37,2,2,1,2024-04-22 22:00,1,0.007,2,0.050
1,67,0.003,0.3,47,2,2,1,2024-04-22 21:00,1,0.009,2,0.050
1,68,0.003,0.3,45,2,2,1,2024-04-22 20:00,1,0.013,2,0.051
1,78,0.003,0.3,32,2,2,1,2024-04-22 19:00,1,0.008,2,0.063
1,82,0.003,0.3,36,2,2,1,2024-04-22 18:00,1,0.005,2,0.068
1,83,0.003,0.3,32,2,2,1,2024-04-22 17:00,1,0.005,2,0.069
1,82,0.003,0.3,31,2,2,1,2024-04-22 16:00,1,0.005,2,0.068
1,79,0.003,0.3,40,2,2,1,2024-04-22 15:00,1,0.005,2,0.065
1,77,0.003,0.3,45,2,2,1,2024-04-22 14:00,1,0.005,2,0.062
