so2Grade,khaiValue,so2Value,coValue,pm10Value,o3Grade,khaiGrade,no2Grade,dataTime,coGrade,no2Value,pm10Grade,o3Value
1,67,0.003,0.2,56,2,2,1,2024-04-23 11:00,1,0.023,2,0.035
1,64,0.003,0.2,61,2,2,1,2024-04-23 10:00,1,0.019,2,0.037
1,61,0.004,0.2,56,2,2,1,2024-04-23 09:00,1,0.019,2,0.039
1,63,0.004,0.2,36,2,2,1,2024-04-23 08:00,1,0.014,2,0.046
1,64,0.003,0.2,37,2,2,1,2024-04-23 07:00,1,0.014,2,0.047
1,66,0.003,0.2,39,2,2,1,2024-04-23 06:00,1,0.013,2,0.049
1,68,0.003,0.2,35,2,2,1,2024-04-23 05:00,1,0.010,2,0.051
1,68,0.003,0.2,37,2,2,1,2024-04-23 04:00,1,0.009,2,0.052
1,68,0.003,0.2,34,2,2,1,2024-04-23 03:00,1,0.010,2,0.052
1,68,0.003,0.2,42,2,2,1,2024-04-23 02:00,1,0.011,2,0.051
1,70,0.002,0.2,35,2,2,1,2024-04-23 01:00,1,0.010,2,0.054
1,65,0.003,0.2,39,2,2,1,2024-04-22 24:00,1,0.013,2,0.048
1,62,0.004,0.2,40,2,2,1,2024-04-22 23:00,1,0.016,2,0.044
1,61,0.004,0.2,39,2,2,1,2024-04-22 22:00,1,0.017,2,0.042
1,62,0.003,0.2,36,2,2,1,2024-04-22 21:00,1,0.020,2,0.038
1,64,0.003,0.2,43,2,2,1,2024-04-22 20:00,1,0.020,2,0.036
1,63,0.004,0.2,44,2,2,1,2024-04-22 19:00,1,0.021,2,0.035
1,62,0.003,0.2,51,1,2,2,2024-04-22 18:00,1,0.031,2,0.025
1,61,0.003,0.2,52,1,2,2,2024-04-22 17:00,1,0.037,2,0.021
1,59,0.003,0.2,47,1,2,2,2024-04-22 16:00,1,0.036,2,0.020
1,54,0.002,0.2,38,1,2,1,2024-04-22 15:00,1,0.029,2,0.023
1,52,0.002,0.2,34,1,2,1,2024-04-22 14:00,1,0.025,2,0.025
