so2Grade,khaiValue,so2Value,coValue,pm10Value,o3Grade,khaiGrade,no2Grade,dataTime,coGrade,no2Value,pm10Grade,o3Value
1,69,0.002,0.3,37,2,2,1,2024-04-23 11:00,1,0.006,1,0.053
1,59,0.002,0.3,33,2,2,1,2024-04-23 10:00,1,0.009,1,0.041
1,51,0.002,0.3,31,2,2,1,2024-04-23 09:00,1,0.011,1,0.031
1,33,0.002,0.3,27,1,1,1,2024-04-23 08:00,1,0.012,1,0.018
1,27,0.002,0.3,15,1,1,1,2024-04-23 07:00,1,0.011,1,0.005
1,27,0.002,0.4,17,1,1,1,2024-04-23 06:00,1,0.014,1,0.002
1,27,0.002,0.5,19,1,1,1,2024-04-23 05:00,1,0.009,1,0.007
1,23,0.002,0.4,9,1,1,1,2024-04-23 04:00,1,0.009,1,0.011
1,28,0.001,0.3,9,1,1,1,2024-04-23 03:00,1,0.009,1,0.017
1,45,0.002,0.3,12,1,1,1,2024-04-23 02:00,1,0.007,1,0.027
1,43,0.002,0.3,13,1,1,1,2024-04-23 01:00,1,0.007,1,0.026
1,33,0.001,0.3,11,1,1,1,2024-04-22 24:00,1,0.009,1,0.020
1,42,0.002,0.3,22,1,1,1,2024-04-22 23:00,1,0.007,1,0.025
1,54,0.002,0.3,15,2,2,1,2024-04-22 22:00,1,0.006,1,0.035
1,54,0.002,0.3,15,2,2,1,2024-04-22 21:00,1,0.007,1,0.035
1,59,0.002,0.3,6,2,2,1,2024-04-22 20:00,1,0.005,1,0.041
1,61,0.002,0.3,9,2,2,1,2024-04-22 19:00,1,0.005,1,0.043
1,59,0.002,0.4,18,2,2,1,2024-04-22 18:00,1,0.006,1,0.041
1,60,0.002,0.3,14,2,2,1,2024-04-22 17:00,1,0.005,1,0.042
1,62,0.002,0.3,26,2,2,1,2024-04-22 16:00,1,0.005,1,0.044
1,67,0.002,0.3,27,2,2,1,2024-04-22 15:00,1,0.006,1,0.050
1,68,0.002,0.3,18,2,2,1,2024-04-22 14:00,1,0.006,1,0.052
