so2Grade,khaiValue,so2Value,coValue,pm10Value,o3Grade,khaiGrade,no2Grade,dataTime,coGrade,no2Value,pm10Grade,o3Value
1,65,0.002,0.4,32,2,2,1,2024-04-23 12:00,1,0.006,1,0.048
1,63,0.002,0.4,29,2,2,1,2024-04-23 11:00,1,0.006,1,0.046
1,61,0.002,0.4,30,2,2,1,2024-04-23 10:00,1,0.007,1,0.043
1,56,0.002,0.4,18,2,2,1,2024-04-23 09:00,1,0.008,1,0.037
1,43,0.002,0.4,11,1,1,1,2024-04-23 08:00,1,0.010,1,0.025
1,47,0.002,0.4,24,1,1,1,2024-04-23 07:00,1,0.014,1,0.016
1,47,0.002,0.4,24,1,1,1,2024-04-23 06:00,1,0.010,1,0.019
1,47,0.002,0.4,23,1,1,1,2024-04-23 05:00,1,0.008,1,0.020
1,48,0.002,0.4,30,1,1,1,2024-04-23 04:00,1,0.008,1,0.020
1,50,0.002,0.4,25,1,1,1,2024-04-23 03:00,1,0.008,1,0.020
1,51,0.002,0.4,33,1,2,1,2024-04-23 02:00,1,0.008,2,0.020
1,50,0.002,0.4,35,1,1,1,2024-04-23 01:00,1,0.008,1,0.018
1,47,0.002,0.4,33,1,1,1,2024-04-22 24:00,1,0.010,1,0.019
1,45,0.002,0.4,27,1,1,1,2024-04-22 23:00,1,0.009,1,0.025
1,48,0.002,0.4,30,1,1,1,2024-04-22 22:00,1,0.007,1,0.029
1,48,0.002,0.4,23,1,1,1,2024-04-22 21:00,1,0.007,1,0.029
1,50,0.002,0.4,28,1,1,1,2024-04-22 20:00,1,0.008,1,0.030
1,51,0.002,0.4,21,2,2,1,2024-04-22 19:00,1,0.007,1,0.031
1,51,0.002,0.4,26,2,2,1,2024-04-22 18:00,1,0.009,2,0.031
1,52,0.002,0.4,24,1,2,1,2024-04-22 17:00,1,0.008,2,0.030
1,52,0.002,0.4,27,2,2,1,2024-04-22 16:00,1,0.008,2,0.032
1,54,0.002,0.4,43,2,2,1,2024-04-22 15:00,1,0.008,2,0.031
1,54,0.002,0.4,25,2,2,1,2024-04-22 14:00,1,0.007,2,0.035
