so2Grade,khaiValue,so2Value,coValue,pm10Value,o3Grade,no2Grade,dataTime,coGrade,no2Value,pm10Grade,o3Value,khaiGrade
1,-,0.002,0.4,82,2,1,2024-04-23 11:00,1,0.016,3,0.032,
1,-,0.002,0.3,85,1,1,2024-04-23 10:00,1,0.018,3,0.030,
1,-,0.002,0.4,195,1,1,2024-04-23 09:00,1,0.019,3,0.028,
1,77,0.002,0.3,124,1,1,2024-04-23 08:00,1,0.022,2,0.027,2
1,64,0.002,0.3,89,1,1,2024-04-23 07:00,1,0.025,2,0.023,2
1,61,0.002,0.3,19,2,1,2024-04-23 06:00,1,0.014,2,0.032,2
1,72,0.002,0.3,19,2,1,2024-04-23 05:00,1,0.009,2,0.039,2
1,85,0.002,0.3,20,2,1,2024-04-23 04:00,1,0.008,2,0.043,2
1,97,0.002,0.3,27,2,1,2024-04-23 03:00,1,0.011,2,0.038,2
1,105,0.003,0.3,31,2,1,2024-04-23 02:00,1,0.015,2,0.035,3
1,116,0.003,0.4,66,2,1,2024-04-23 01:00,1,0.021,2,0.045,3
1,124,0.003,0.5,71,2,1,2024-04-22 24:00,1,0.030,2,0.034,3
1,124,0.004,0.5,60,2,1,2024-04-22 23:00,1,0.028,2,0.038,3
1,178,0.004,0.5,45,2,1,2024-04-22 22:00,1,0.023,3,0.054,3
1,189,0.004,0.5,47,2,1,2024-04-22 21:00,1,0.026,3,0.052,3
1,201,0.004,0.5,81,2,2,2024-04-22 20:00,1,0.032,3,0.045,3
1,-,0.003,0.5,110,2,2,2024-04-22 19:00,1,0.033,,0.042,
1,-,0.002,0.3,94,2,1,2024-04-22 18:00,1,0.018,,0.042,
1,-,0.002,0.3,145,2,1,2024-04-22 17:00,1,0.018,,0.035,
1,-,0.002,0.4,130,2,1,2024-04-22 16:00,1,0.020,,0.037,
1,-,0.002,0.4,91,2,1,2024-04-22 15:00,1,0.016,,0.041,
1,-,0.002,0.4,117,2,1,2024-04-22 14:00,1,0.019,,0.037,
1,-,0.002,0.4,151,1,1,2024-04-22 13:00,1,0.017,,0.029,
