so2Grade,khaiValue,so2Value,coValue,pm10Value,o3Grade,khaiGrade,no2Grade,dataTime,coGrade,no2Value,pm10Grade,o3Value
1,59,0.002,0.2,46,2,2,1,2024-04-23 11:00,1,0.014,2,0.041
1,57,0.002,0.3,33,2,2,1,2024-04-23 10:00,1,0.017,1,0.038
1,58,0.002,0.3,31,2,2,1,2024-04-23 09:00,1,0.017,1,0.039
1,58,0.002,0.2,30,2,2,1,2024-04-23 08:00,1,0.022,1,0.039
1,63,0.002,0.2,27,2,2,1,2024-04-23 07:00,1,0.015,1,0.046
1,63,0.002,0.2,27,2,2,1,2024-04-23 06:00,1,0.008,1,0.046
1,65,0.002,0.2,24,2,2,1,2024-04-23 05:00,1,0.008,1,0.048
1,69,0.001,0.2,25,2,2,1,2024-04-23 04:00,1,0.005,1,0.053
1,72,0.002,0.2,24,2,2,1,2024-04-23 03:00,1,0.005,1,0.056
1,68,0.001,0.2,27,2,2,1,2024-04-23 02:00,1,0.005,1,0.052
1,69,0.002,0.2,29,2,2,1,2024-04-23 01:00,1,0.006,1,0.053
1,67,0.001,0.2,30,2,2,1,2024-04-22 24:00,1,0.006,1,0.050
1,59,0.002,0.2,28,2,2,1,2024-04-22 23:00,1,0.009,1,0.041
1,57,0.002,0.2,25,2,2,1,2024-04-22 22:00,1,0.007,1,0.038
1,57,0.002,0.2,29,2,2,1,2024-04-22 21:00,1,0.008,2,0.038
1,60,0.002,0.2,28,2,2,1,2024-04-22 20:00,1,0.008,2,0.042
1,58,0.002,0.2,28,2,2,1,2024-04-22 19:00,1,0.012,2,0.039
1,55,0.002,0.2,35,2,2,1,2024-04-22 18:00,1,0.016,2,0.036
1,57,0.002,0.2,42,2,2,1,2024-04-22 17:00,1,0.012,2,0.038
1,56,0.002,0.2,40,2,2,1,2024-04-22 16:00,1,0.016,2,0.037
1,57,0.002,0.2,29,2,2,1,2024-04-22 15:00,1,0.012,1,0.038
1,55,0.002,0.2,30,2,2,1,2024-04-22 14:00,1,0.013,1,0.036
1,51,0.002,0.2,36,2,2,1,2024-04-22 13:00,1,0.015,1,0.031
