so2Grade,khaiValue,so2Value,coValue,pm10Value,o3Grade,khaiGrade,no2Grade,dataTime,coGrade,no2Value,pm10Grade,o3Value
1,72,0.004,0.3,42,2,2,1,2024-04-23 11:00,1,0.013,2,0.053
1,73,0.003,0.3,47,2,2,1,2024-04-23 10:00,1,0.017,2,0.049
1,73,0.005,0.3,67,2,2,1,2024-04-23 09:00,1,0.021,2,0.041
1,74,0.010,0.4,66,2,2,1,2024-04-23 08:00,1,0.021,2,0.033
1,79,0.006,0.4,50,1,2,1,2024-04-23 07:00,1,0.016,2,0.025
1,77,0.007,0.4,45,1,2,1,2024-04-23 06:00,1,0.016,2,0.030
1,77,0.008,0.4,77,1,2,1,2024-04-23 05:00,1,0.015,2,0.017
1,66,0.004,0.4,46,1,2,1,2024-04-23 04:00,1,0.010,2,0.019
1,61,0.002,0.4,41,1,2,1,2024-04-23 03:00,1,0.009,2,0.024
1,59,0.002,0.3,45,1,2,1,2024-04-23 02:00,1,0.010,2,0.028
1,56,0.002,0.4,37,1,2,1,2024-04-23 01:00,1,0.012,2,0.028
1,54,0.002,0.3,28,1,2,1,2024-04-22 24:00,1,0.014,1,0.025
1,54,0.002,0.3,35,1,2,1,2024-04-22 23:00,1,0.013,1,0.026
1,66,0.002,0.3,45,2,2,1,2024-04-22 22:00,1,0.009,1,0.049
1,57,0.002,0.3,32,2,2,1,2024-04-22 21:00,1,0.011,1,0.038
1,56,0.002,0.3,21,2,2,1,2024-04-22 20:00,1,0.014,1,0.037
1,50,0.002,0.3,14,1,1,1,2024-04-22 19:00,1,0.017,1,0.023
1,47,0.002,0.3,30,1,1,1,2024-04-22 18:00,1,0.011,1,0.021
1,55,0.002,0.3,21,2,2,1,2024-04-22 17:00,1,0.007,1,0.036
1,60,0.002,0.3,17,2,2,1,2024-04-22 16:00,1,0.007,1,0.042
1,59,0.002,0.3,29,2,2,1,2024-04-22 15:00,1,0.007,1,0.041
1,62,0.002,0.3,19,2,2,1,2024-04-22 14:00,1,0.007,1,0.044
