so2Grade,khaiValue,so2Value,coValue,pm10Value,o3Grade,no2Grade,dataTime,coGrade,no2Value,pm10Grade,o3Value,khaiGrade
1,-,0.001,0.2,40,2,1,2024-04-23 11:00,1,0.006,1,0.057,
1,-,0.001,0.2,29,2,1,2024-04-23 10:00,1,0.007,1,0.051,
1,-,0.001,0.2,35,2,1,2024-04-23 09:00,1,0.008,1,0.048,
1,-,0.001,0.1,26,2,1,2024-04-23 08:00,1,0.008,1,0.043,
1,-,0.001,0.1,28,2,1,2024-04-23 07:00,1,0.011,1,0.037,
1,-,0.001,0.1,22,2,1,2024-04-23 06:00,1,0.007,1,0.040,
1,-,0.001,0.1,21,2,1,2024-04-23 05:00,1,0.006,1,0.038,
1,-,0.001,0.1,27,2,1,2024-04-23 04:00,1,0.006,1,0.038,
1,-,0.001,0.1,25,2,1,2024-04-23 03:00,1,0.006,1,0.039,
1,-,0.001,0.1,27,2,1,2024-04-23 02:00,1,0.007,2,0.040,
1,-,0.001,0.1,28,2,1,2024-04-23 01:00,1,0.008,2,0.040,
1,-,0.001,0.1,30,2,1,2024-04-22 24:00,1,0.011,2,0.038,
1,-,0.001,0.1,29,2,1,2024-04-22 23:00,1,0.013,2,0.037,
1,-,0.001,0.1,29,2,1,2024-04-22 22:00,1,0.009,2,0.042,
1,-,0.001,0.1,40,2,1,2024-04-22 21:00,1,0.010,2,0.042,
1,-,0.001,0.1,43,2,1,2024-04-22 20:00,1,0.015,2,0.036,
1,-,0.001,0.2,37,2,1,2024-04-22 19:00,1,0.013,2,0.052,
1,-,0.001,0.1,34,2,1,2024-04-22 18:00,1,0.008,2,0.061,
1,-,0.001,0.1,34,2,1,2024-04-22 17:00,1,0.006,2,0.067,
1,-,0.001,0.1,37,2,1,2024-04-22 16:00,1,0.004,2,0.071,
1,85,0.001,0.1,36,2,1,2024-04-22 15:00,1,0.004,2,0.072,2
1,83,0.001,0.1,37,2,1,2024-04-22 14:00,1,0.004,2,0.069,2
1,77,0.001,0.1,37,2,1,2024-04-22 13:00,1,0.005,2,0.062,2
