so2Grade,khaiValue,so2Value,coValue,pm10Value,o3Grade,khaiGrade,no2Grade,dataTime,coGrade,no2Value,pm10Grade,o3Value
1,77,0.003,0.2,40,2,2,1,2024-04-23 12:00,1,0.004,2,0.062
1,68,0.003,0.2,33,2,2,1,2024-04-23 11:00,1,0.004,2,0.052
1,65,0.002,0.2,30,2,2,1,2024-04-23 10:00,1,0.005,2,0.048
1,54,0.002,0.2,35,2,2,1,2024-04-23 09:00,1,0.008,2,0.033
1,54,0.002,0.2,29,1,2,1,2024-04-23 08:00,1,0.008,2,0.021
1,55,0.002,0.2,29,1,2,1,2024-04-23 07:00,1,0.006,2,0.022
1,57,0.002,0.2,31,2,2,1,2024-04-23 06:00,1,0.004,2,0.036
1,58,0.002,0.2,30,2,2,1,2024-04-23 05:00,1,0.004,2,0.035
1,60,0.002,0.2,29,2,2,1,2024-04-23 04:00,1,0.003,2,0.037
1,62,0.002,0.2,39,2,2,1,2024-04-23 03:00,1,0.003,2,0.034
1,62,0.002,0.2,42,2,2,1,2024-04-23 02:00,1,0.004,2,0.036
1,61,0.002,0.2,45,2,2,1,2024-04-23 01:00,1,0.005,2,0.034
1,61,0.002,0.3,46,2,2,1,2024-04-22 24:00,1,0.005,2,0.032
1,61,0.002,0.3,44,2,2,1,2024-04-22 23:00,1,0.007,2,0.032
1,60,0.002,0.4,41,2,2,1,2024-04-22 22:00,1,0.008,2,0.032
1,59,0.002,0.3,46,2,2,1,2024-04-22 21:00,1,0.010,2,0.031
1,55,0.003,0.4,51,2,2,1,2024-04-22 20:00,1,0.012,2,0.036
1,64,0.003,0.5,46,2,2,1,2024-04-22 19:00,1,0.012,2,0.047
1,66,0.003,0.4,30,2,2,1,2024-04-22 18:00,1,0.008,1,0.049
1,63,0.003,0.2,24,2,2,1,2024-04-22 17:00,1,0.005,1,0.045
1,57,0.003,0.2,28,2,2,1,2024-04-22 16:00,1,0.008,1,0.038
1,51,0.002,0.2,29,2,2,1,2024-04-22 15:00,1,0.008,1,0.031
1,55,0.003,0.2,30,2,2,1,2024-04-22 14:00,1,0.006,1,0.036
