so2Grade,khaiValue,so2Value,coValue,pm10Value,o3Grade,khaiGrade,no2Grade,dataTime,coGrade,no2Value,pm10Grade,o3Value
1,78,0.001,0.0,31,2,2,1,2024-04-23 12:00,1,0.004,1,0.063
1,76,0.001,0.0,27,2,2,1,2024-04-23 11:00,1,0.004,1,0.061
1,72,0.001,0.0,28,2,2,1,2024-04-23 10:00,1,0.005,1,0.056
1,69,0.001,0.0,29,2,2,1,2024-04-23 09:00,1,0.005,1,0.053
1,69,0.001,0.0,27,2,2,1,2024-04-23 08:00,1,0.004,1,0.053
1,69,0.001,0.0,21,2,2,1,2024-04-23 07:00,1,0.004,1,0.053
1,70,0.001,0.0,23,2,2,1,2024-04-23 06:00,1,0.004,1,0.054
1,71,0.001,0.0,22,2,2,1,2024-04-23 05:00,1,0.004,1,0.055
1,71,0.001,0.0,20,2,2,1,2024-04-23 04:00,1,0.004,1,0.055
1,71,0.001,0.0,21,2,2,1,2024-04-23 03:00,1,0.004,1,0.055
1,72,0.001,0.0,22,2,2,1,2024-04-23 02:00,1,0.004,1,0.056
1,69,0.001,0.0,24,2,2,1,2024-04-23 01:00,1,0.005,1,0.053
1,61,0.001,0.0,28,2,2,1,2024-04-22 24:00,1,0.006,1,0.043
1,62,0.001,0.1,31,2,2,1,2024-04-22 23:00,1,0.006,1,0.044
1,63,0.001,0.0,29,2,2,1,2024-04-22 22:00,1,0.006,1,0.046
1,64,0.001,0.0,29,2,2,1,2024-04-22 21:00,1,0.006,1,0.047
1,68,0.001,0.0,30,2,2,1,2024-04-22 20:00,1,0.006,1,0.052
1,69,0.001,0.0,29,2,2,1,2024-04-22 19:00,1,0.005,1,0.053
1,71,0.001,0.0,23,2,2,1,2024-04-22 18:00,1,0.005,1,0.055
1,73,0.001,0.0,28,2,2,1,2024-04-22 17:00,1,0.005,2,0.058
1,76,0.001,0.0,28,2,2,1,2024-04-22 16:00,1,0.004,2,0.061
1,76,0.001,0.0,28,2,2,1,2024-04-22 15:00,1,0.004,2,0.061
1,74,0.001,0.0,34,2,2,1,2024-04-22 14:00,1,0.004,2,0.059
