so2Grade,khaiValue,so2Value,coValue,pm10Value,o3Grade,khaiGrade,no2Grade,dataTime,coGrade,no2Value,pm10Grade,o3Value
1,73,0.003,0.2,22,2,2,1,2024-04-23 11:00,1,0.006,1,0.057
1,67,0.002,0.2,16,2,2,1,2024-04-23 10:00,1,0.009,1,0.050
1,61,0.002,0.2,23,2,2,1,2024-04-23 09:00,1,0.014,1,0.043
1,50,0.003,0.3,23,1,1,1,2024-04-23 08:00,1,0.021,1,0.029
1,50,0.003,0.3,25,1,1,1,2024-04-23 07:00,1,0.022,1,0.018
1,50,0.002,0.2,20,1,1,1,2024-04-23 06:00,1,0.012,1,0.029
1,68,0.002,0.2,13,2,2,1,2024-04-23 05:00,1,0.004,1,0.051
1,68,0.002,0.2,20,2,2,1,2024-04-23 04:00,1,0.004,1,0.051
1,62,0.002,0.2,19,2,2,1,2024-04-23 03:00,1,0.006,1,0.044
1,65,0.002,0.2,20,2,2,1,2024-04-23 02:00,1,0.004,1,0.048
1,67,0.002,0.2,23,2,2,1,2024-04-23 01:00,1,0.004,2,0.050
1,64,0.002,0.2,26,2,2,1,2024-04-22 24:00,1,0.006,2,0.047
1,66,0.003,0.3,40,2,2,1,2024-04-22 23:00,1,0.018,2,0.038
1,73,0.003,0.3,46,2,2,1,2024-04-22 22:00,1,0.018,2,0.058
1,80,0.003,0.3,43,2,2,1,2024-04-22 21:00,1,0.014,2,0.066
1,85,0.003,0.2,46,2,2,1,2024-04-22 20:00,1,0.011,2,0.072
1,76,0.003,0.2,24,2,2,1,2024-04-22 19:00,1,0.010,1,0.061
1,80,0.003,0.2,23,2,2,1,2024-04-22 18:00,1,0.006,1,0.066
1,82,0.002,0.2,25,2,2,1,2024-04-22 17:00,1,0.005,1,0.068
1,81,0.003,0.2,33,2,2,1,2024-04-22 16:00,1,0.006,2,0.067
1,80,0.002,0.2,26,2,2,1,2024-04-22 15:00,1,0.005,2,0.066
1,78,0.003,0.2,29,2,2,1,2024-04-22 14:00,1,0.005,2,0.064
