so2Grade,khaiValue,so2Value,coValue,pm10Value,o3Grade,khaiGrade,no2Grade,dataTime,coGrade,no2Value,pm10Grade,o3Value
1,73,0.001,0.3,25,2,2,1,2024-04-23 11:00,1,0.006,1,0.058
1,69,0.001,0.3,29,2,2,1,2024-04-23 10:00,1,0.008,1,0.053
1,67,0.001,0.3,29,2,2,1,2024-04-23 09:00,1,0.007,1,0.050
1,64,0.001,0.3,22,2,2,1,2024-04-23 08:00,1,0.008,1,0.047
1,50,0.002,0.3,31,1,1,1,2024-04-23 07:00,1,0.020,1,0.028
1,52,0.001,0.3,27,2,2,1,2024-04-23 06:00,1,0.008,1,0.032
1,53,0.001,0.3,24,2,2,1,2024-04-23 05:00,1,0.007,1,0.034
1,54,0.001,0.3,26,2,2,1,2024-04-23 04:00,1,0.008,2,0.031
1,56,0.001,0.3,28,1,2,1,2024-04-23 03:00,1,0.007,2,0.025
1,57,0.001,0.3,31,1,2,1,2024-04-23 02:00,1,0.009,2,0.021
1,58,0.001,0.3,38,1,2,1,2024-04-23 01:00,1,0.010,2,0.022
1,58,0.001,0.3,44,2,2,1,2024-04-22 24:00,1,0.010,2,0.031
1,56,0.001,0.3,44,2,2,1,2024-04-22 23:00,1,0.009,2,0.031
1,60,0.002,0.3,37,2,2,1,2024-04-22 22:00,1,0.008,2,0.042
1,66,0.002,0.3,38,2,2,1,2024-04-22 21:00,1,0.009,2,0.049
1,64,0.002,0.3,28,2,2,1,2024-04-22 20:00,1,0.008,2,0.047
1,59,0.002,0.3,26,2,2,1,2024-04-22 19:00,1,0.010,2,0.041
1,55,0.002,0.4,34,2,2,1,2024-04-22 18:00,1,0.016,2,0.036
1,58,0.002,0.3,34,2,2,1,2024-04-22 17:00,1,0.015,2,0.039
1,63,0.002,0.3,33,2,2,1,2024-04-22 16:00,1,0.012,2,0.045
1,69,0.001,0.3,29,2,2,1,2024-04-22 15:00,1,0.007,2,0.053
1,72,0.001,0.3,38,2,2,1,2024-04-22 14:00,1,0.005,2,0.056
