so2Grade,khaiValue,so2Value,coValue,pm10Value,o3Grade,khaiGrade,no2Grade,dataTime,coGrade,no2Value,pm10Grade,o3Value,so2Flag
1,71,0.002,0.3,20,2,2,1,2024-04-23 11:00,1,0.006,1,0.055,
1,67,0.002,0.3,19,2,2,1,2024-04-23 10:00,1,0.007,1,0.050,
1,63,0.002,0.3,21,2,2,1,2024-04-23 09:00,1,0.010,1,0.046,
1,59,0.002,0.3,21,2,2,1,2024-04-23 08:00,1,0.014,1,0.041,
1,59,0.002,0.3,16,2,2,1,2024-04-23 07:00,1,0.012,1,0.041,
1,64,0.002,0.3,16,2,2,1,2024-04-23 06:00,1,0.007,1,0.047,
1,64,0.002,0.3,17,2,2,1,2024-04-23 05:00,1,0.008,1,0.047,
1,64,0.002,0.3,18,2,2,1,2024-04-23 04:00,1,0.005,1,0.047,
1,57,0.002,0.3,20,2,2,1,2024-04-23 03:00,1,0.008,2,0.038,
1,56,0.002,0.3,29,1,2,1,2024-04-23 02:00,1,0.015,2,0.028,
1,58,0.002,0.3,39,2,2,1,2024-04-23 01:00,1,0.017,2,0.034,
1,57,0.003,0.4,47,2,2,1,2024-04-22 24:00,1,0.022,2,0.038,
1,59,0.003,0.4,45,2,2,1,2024-04-22 23:00,1,0.024,2,0.041,
1,54,0.003,0.4,45,2,2,1,2024-04-22 22:00,1,0.028,2,0.035,
,56,-,0.4,33,2,2,1,2024-04-22 21:00,1,0.019,1,0.037,통신장애
,71,-,0.3,28,2,2,1,2024-04-22 20:00,1,0.011,1,0.055,통신장애
,74,-,0.3,27,2,2,1,2024-04-22 19:00,1,0.007,1,0.059,통신장애
,76,-,0.3,21,2,2,1,2024-04-22 18:00,1,0.006,1,0.061,통신장애
,78,-,0.3,21,2,2,1,2024-04-22 17:00,1,0.005,1,0.063,통신장애
,77,-,0.3,24,2,2,1,2024-04-22 16:00,1,0.004,2,0.062,통신장애
,77,-,0.3,33,2,2,1,2024-04-22 15:00,1,0.005,2,0.062,통신장애
,77,-,0.3,30,2,2,1,2024-04-22 14:00,1,0.006,2,0.062,통신장애
,72,-,0.3,32,2,2,1,2024-04-22 13:00,1,0.006,2,0.056,통신장애
