so2Grade,khaiValue,so2Value,coValue,pm10Value,o3Grade,khaiGrade,no2Grade,dataTime,coGrade,no2Value,pm10Grade,o3Value
1,73,0.001,0.5,23,2,2,1,2024-04-23 11:00,1,0.006,1,0.058
1,70,0.002,0.5,25,2,2,1,2024-04-23 10:00,1,0.007,1,0.054
1,68,0.001,0.5,23,2,2,1,2024-04-23 09:00,1,0.007,1,0.052
1,68,0.001,0.5,21,2,2,1,2024-04-23 08:00,1,0.006,1,0.052
1,67,0.001,0.5,24,2,2,1,2024-04-23 07:00,1,0.006,1,0.050
1,67,0.001,0.5,23,2,2,1,2024-04-23 06:00,1,0.006,1,0.050
1,63,0.001,0.5,25,2,2,1,2024-04-23 05:00,1,0.006,1,0.046
1,53,0.001,0.5,22,2,2,1,2024-04-23 04:00,1,0.009,1,0.034
1,48,0.001,0.5,23,1,1,1,2024-04-23 03:00,1,0.009,1,0.029
1,50,0.001,0.5,28,1,1,1,2024-04-23 02:00,1,0.009,1,0.030
1,56,0.001,0.5,27,2,2,1,2024-04-23 01:00,1,0.007,1,0.037
1,51,0.001,0.5,23,2,2,1,2024-04-22 24:00,1,0.009,1,0.031
1,43,0.001,0.5,22,1,1,1,2024-04-22 23:00,1,0.009,1,0.026
1,45,0.001,0.5,26,1,1,1,2024-04-22 22:00,1,0.008,1,0.027
1,54,0.002,0.5,25,2,2,1,2024-04-22 21:00,1,0.008,1,0.035
1,52,0.001,0.5,24,2,2,1,2024-04-22 20:00,1,0.009,1,0.032
1,58,0.001,0.5,29,2,2,1,2024-04-22 19:00,1,0.008,1,0.039
1,57,0.001,0.5,30,2,2,1,2024-04-22 18:00,1,0.010,1,0.038
1,58,0.001,0.5,26,2,2,1,2024-04-22 17:00,1,0.011,1,0.040
1,61,0.001,0.5,24,2,2,1,2024-04-22 16:00,1,0.008,1,0.043
1,61,0.001,0.5,27,2,2,1,2024-04-22 15:00,1,0.007,1,0.043
1,60,0.001,0.5,27,2,2,1,2024-04-22 14:00,1,0.007,1,0.042
1,61,0.001,0.5,25,2,2,1,2024-04-22 13:00,1,0.006,1,0.043
