so2Grade,khaiValue,so2Value,coValue,pm10Value,o3Grade,khaiGrade,no2Grade,dataTime,coGrade,no2Value,pm10Grade,o3Value
1,53,0.002,0.2,29,2,2,1,2024-04-23 11:00,1,0.009,2,0.034
1,54,0.002,0.3,27,2,2,1,2024-04-23 10:00,1,0.007,2,0.034
1,62,0.001,0.3,44,2,2,1,2024-04-23 09:00,1,0.013,2,0.044
1,62,0.001,0.3,37,2,2,1,2024-04-23 08:00,1,0.012,2,0.044
1,61,0.001,0.3,33,2,2,1,2024-04-23 07:00,1,0.007,2,0.043
1,62,0.001,0.3,35,2,2,1,2024-04-23 06:00,1,0.005,2,0.044
1,63,0.001,0.3,32,2,2,1,2024-04-23 05:00,1,0.004,2,0.045
1,64,0.001,0.3,29,2,2,1,2024-04-23 04:00,1,0.004,2,0.047
1,65,0.001,0.3,29,2,2,1,2024-04-23 03:00,1,0.004,2,0.048
1,63,0.002,0.3,40,2,2,1,2024-04-23 02:00,1,0.003,1,0.046
1,56,0.002,0.3,25,2,2,1,2024-04-23 01:00,1,0.003,1,0.036
1,56,0.001,0.3,26,2,2,1,2024-04-22 24:00,1,0.003,1,0.037
1,59,0.001,0.3,24,2,2,1,2024-04-22 23:00,1,0.003,2,0.041
1,60,0.001,0.3,28,2,2,1,2024-04-22 22:00,1,0.004,2,0.042
1,70,0.001,0.3,37,2,2,1,2024-04-22 21:00,1,0.002,2,0.054
1,69,0.001,0.2,44,2,2,1,2024-04-22 20:00,1,0.004,2,0.053
1,68,0.001,0.2,36,2,2,1,2024-04-22 19:00,1,0.007,2,0.052
1,68,0.001,0.2,33,2,2,1,2024-04-22 18:00,1,0.007,2,0.052
1,68,0.001,0.2,27,2,2,1,2024-04-22 17:00,1,0.003,2,0.052
1,66,0.001,0.2,27,2,2,1,2024-04-22 16:00,1,0.004,2,0.049
1,68,0.001,0.2,25,2,2,1,2024-04-22 15:00,1,0.003,2,0.051
1,63,0.001,0.2,43,2,2,1,2024-04-22 14:00,1,0.006,2,0.046
