so2Grade,khaiValue,so2Value,coValue,pm10Value,o3Grade,khaiGrade,no2Grade,dataTime,coGrade,no2Value,pm10Grade,o3Value
1,72,0.003,0.3,33,2,2,1,2024-04-23 12:00,1,0.004,1,0.056
1,72,0.003,0.3,32,2,2,1,2024-04-23 11:00,1,0.004,1,0.056
1,65,0.003,0.3,26,2,2,1,2024-04-23 10:00,1,0.005,1,0.048
1,61,0.003,0.4,28,1,2,1,2024-04-23 09:00,1,0.013,1,0.026
1,59,0.003,0.4,32,1,2,1,2024-04-23 08:00,1,0.017,1,0.008
1,56,0.003,0.4,38,1,2,1,2024-04-23 07:00,1,0.016,1,0.006
1,54,0.003,0.3,30,1,2,1,2024-04-23 06:00,1,0.010,1,0.014
1,54,0.003,0.3,25,1,2,1,2024-04-23 05:00,1,0.007,1,0.015
1,54,0.003,0.3,27,1,2,1,2024-04-23 04:00,1,0.006,1,0.018
1,54,0.003,0.3,23,1,2,1,2024-04-23 03:00,1,0.005,1,0.021
1,54,0.003,0.3,23,1,2,1,2024-04-23 02:00,1,0.006,1,0.020
1,54,0.003,0.4,25,1,2,1,2024-04-23 01:00,1,0.007,1,0.022
1,54,0.003,0.4,24,1,2,1,2024-04-22 24:00,1,0.010,1,0.017
1,54,0.003,0.4,26,1,2,1,2024-04-22 23:00,1,0.011,1,0.015
1,54,0.003,0.4,28,1,2,1,2024-04-22 22:00,1,0.012,1,0.022
1,54,0.003,0.4,28,1,2,1,2024-04-22 21:00,1,0.009,1,0.029
1,54,0.003,0.4,31,1,2,1,2024-04-22 20:00,1,0.010,1,0.029
1,54,0.003,0.4,30,1,2,1,2024-04-22 19:00,1,0.011,1,0.029
1,55,0.003,0.4,29,2,2,1,2024-04-22 18:00,1,0.007,1,0.036
1,56,0.003,0.3,28,2,2,1,2024-04-22 17:00,1,0.006,1,0.037
1,60,0.003,0.3,28,2,2,1,2024-04-22 16:00,1,0.005,1,0.042
1,61,0.003,0.3,26,2,2,1,2024-04-22 15:00,1,0.005,1,0.043
1,60,0.003,0.3,32,2,2,1,2024-04-22 14:00,1,0.005,1,0.042
