so2Grade,khaiValue,so2Value,coValue,pm10Value,o3Grade,khaiGrade,no2Grade,dataTime,coGrade,no2Value,pm10Grade,o3Value
1,77,0.002,0.2,34,2,2,1,2024-04-23 11:00,1,0.005,2,0.062
1,74,0.002,0.2,33,2,2,1,2024-04-23 10:00,1,0.006,2,0.059
1,73,0.002,0.2,44,2,2,1,2024-04-23 09:00,1,0.005,2,0.058
1,63,0.002,0.2,30,2,2,1,2024-04-23 08:00,1,0.009,1,0.046
1,64,0.002,0.2,30,2,2,1,2024-04-23 07:00,1,0.006,1,0.047
1,65,0.002,0.2,23,2,2,1,2024-04-23 06:00,1,0.004,1,0.048
1,65,0.002,0.2,26,2,2,1,2024-04-23 05:00,1,0.004,1,0.048
1,66,0.002,0.2,25,2,2,1,2024-04-23 04:00,1,0.004,1,0.049
1,65,0.001,0.2,24,2,2,1,2024-04-23 03:00,1,0.004,2,0.048
1,63,0.002,0.2,33,2,2,1,2024-04-23 02:00,1,0.004,2,0.046
1,63,0.002,0.2,31,2,2,1,2024-04-23 01:00,1,0.004,2,0.046
1,63,0.002,0.2,33,2,2,1,2024-04-22 24:00,1,0.004,2,0.045
1,62,0.002,0.2,30,2,2,1,2024-04-22 23:00,1,0.005,2,0.044
1,53,0.002,0.2,38,2,2,1,2024-04-22 22:00,1,0.012,2,0.034
1,56,0.001,0.2,38,2,2,1,2024-04-22 21:00,1,0.008,2,0.037
1,61,0.001,0.2,28,2,2,1,2024-04-22 20:00,1,0.005,2,0.043
1,64,0.001,0.2,29,2,2,1,2024-04-22 19:00,1,0.005,2,0.047
1,63,0.002,0.2,32,2,2,1,2024-04-22 18:00,1,0.006,2,0.046
1,63,0.002,0.1,34,2,2,1,2024-04-22 17:00,1,0.006,1,0.046
1,66,0.001,0.1,36,2,2,1,2024-04-22 16:00,1,0.004,1,0.049
1,67,0.002,0.1,27,2,2,1,2024-04-22 15:00,1,0.004,1,0.050
1,66,0.002,0.2,24,2,2,1,2024-04-22 14:00,1,0.006,1,0.049
1,63,0.001,0.2,25,2,2,1,2024-04-22 13:00,1,0.009,1,0.045
