so2Grade,khaiValue,so2Value,coValue,pm10Value,o3Grade,khaiGrade,no2Grade,dataTime,coGrade,no2Value,pm10Grade,o3Value
1,80,0.002,0.2,27,2,2,1,2024-04-23 11:00,1,0.002,1,0.066
1,70,0.002,0.2,24,2,2,1,2024-04-23 10:00,1,0.002,1,0.054
1,64,0.002,0.2,29,2,2,1,2024-04-23 09:00,1,0.003,1,0.047
1,54,0.002,0.2,32,1,2,1,2024-04-23 08:00,1,0.003,1,0.022
1,54,0.002,0.2,30,1,2,1,2024-04-23 07:00,1,0.004,1,0.008
1,54,0.002,0.2,19,1,2,1,2024-04-23 06:00,1,0.003,1,0.014
1,54,0.002,0.2,21,1,2,1,2024-04-23 05:00,1,0.003,1,0.023
1,54,0.002,0.2,21,1,2,1,2024-04-23 04:00,1,0.003,1,0.025
1,54,0.002,0.2,19,1,2,1,2024-04-23 03:00,1,0.003,1,0.026
1,54,0.002,0.2,20,1,2,1,2024-04-23 02:00,1,0.003,1,0.028
1,56,0.002,0.2,21,2,2,1,2024-04-23 01:00,1,0.003,1,0.032
1,59,0.002,0.2,25,2,2,1,2024-04-22 24:00,1,0.003,1,0.033
1,59,0.002,0.2,28,2,2,1,2024-04-22 23:00,1,0.003,1,0.037
1,65,0.002,0.2,29,2,2,1,2024-04-22 22:00,1,0.002,2,0.048
1,66,0.002,0.2,28,2,2,1,2024-04-22 21:00,1,0.003,2,0.049
1,71,0.002,0.2,30,2,2,1,2024-04-22 20:00,1,0.003,2,0.055
1,73,0.002,0.2,27,2,2,1,2024-04-22 19:00,1,0.002,2,0.058
1,73,0.002,0.2,34,2,2,1,2024-04-22 18:00,1,0.002,2,0.058
1,73,0.002,0.2,27,2,2,1,2024-04-22 17:00,1,0.002,2,0.057
1,74,0.002,0.2,37,2,2,1,2024-04-22 16:00,1,0.002,2,0.059
1,74,0.002,0.2,35,2,2,1,2024-04-22 15:00,1,0.002,2,0.059
1,74,0.002,0.2,32,2,2,1,2024-04-22 14:00,1,0.002,2,0.059
1,73,0.002,0.2,40,2,2,1,2024-04-22 13:00,1,0.002,2,0.058
