so2Grade,khaiValue,so2Value,coValue,pm10Value,o3Grade,khaiGrade,no2Grade,dataTime,coGrade,no2Value,pm10Grade,o3Value
1,68,0.002,0.4,28,2,2,1,2024-04-23 11:00,1,0.006,1,0.051
1,60,0.002,0.4,32,2,2,1,2024-04-23 10:00,1,0.006,1,0.042
1,54,0.002,0.4,32,2,2,1,2024-04-23 09:00,1,0.006,1,0.035
1,47,0.002,0.4,27,1,1,1,2024-04-23 08:00,1,0.007,1,0.024
1,47,0.002,0.4,24,1,1,1,2024-04-23 07:00,1,0.006,1,0.021
1,40,0.002,0.4,26,1,1,1,2024-04-23 06:00,1,0.005,1,0.024
1,-,0.002,0.4,17,1,,1,2024-04-23 05:00,1,0.005,1,0.022
1,37,0.002,0.4,18,1,1,1,2024-04-23 04:00,1,0.005,1,0.022
1,38,0.002,0.4,12,1,1,1,2024-04-23 03:00,1,0.005,1,0.023
1,40,0.002,0.5,15,1,1,1,2024-04-23 02:00,1,0.004,1,0.024
1,40,0.002,0.4,12,1,1,1,2024-04-23 01:00,1,0.005,1,0.024
1,56,0.002,0.4,8,2,2,1,2024-04-22 24:00,1,0.005,1,0.037
1,57,0.002,0.4,10,2,2,1,2024-04-22 23:00,1,0.006,1,0.038
1,-,0.002,0.4,8,2,,1,2024-04-22 22:00,1,0.006,1,0.040
1,-,0.002,0.4,7,2,,1,2024-04-22 21:00,1,0.007,1,0.040
1,-,0.002,0.4,11,2,,1,2024-04-22 20:00,1,0.005,1,0.043
1,-,0.002,0.5,11,2,,1,2024-04-22 19:00,1,0.005,1,0.041
1,59,0.002,0.5,17,2,2,1,2024-04-22 18:00,1,0.005,1,0.041
1,59,0.002,0.5,17,2,2,1,2024-04-22 17:00,1,0.005,1,0.041
1,58,0.002,0.5,21,2,2,1,2024-04-22 16:00,1,0.005,1,0.040
1,57,0.002,0.5,16,2,2,1,2024-04-22 15:00,1,0.006,1,0.038
1,54,0.002,0.5,23,2,2,1,2024-04-22 14:00,1,0.006,1,0.034
1,56,0.002,0.5,28,2,2,1,2024-04-22 13:00,1,0.006,1,0.037
