so2Grade,khaiValue,so2Value,coValue,pm10Value,o3Grade,khaiGrade,no2Grade,dataTime,coGrade,no2Value,pm10Grade,o3Value
1,72,0.001,0.3,33,2,2,1,2024-04-23 12:00,1,0.007,1,0.056
1,69,0.001,0.3,29,2,2,1,2024-04-23 11:00,1,0.007,1,0.053
1,67,0.001,0.3,27,2,2,1,2024-04-23 10:00,1,0.007,1,0.050
1,65,0.001,0.3,23,2,2,1,2024-04-23 09:00,1,0.007,1,0.048
1,61,0.001,0.4,23,2,2,1,2024-04-23 08:00,1,0.010,1,0.043
1,61,0.001,0.3,23,2,2,1,2024-04-23 07:00,1,0.007,1,0.043
1,61,0.001,0.3,24,2,2,1,2024-04-23 06:00,1,0.007,1,0.043
1,58,0.001,0.3,22,2,2,1,2024-04-23 05:00,1,0.007,1,0.040
1,57,0.001,0.3,26,2,2,1,2024-04-23 04:00,1,0.007,1,0.038
1,56,0.001,0.3,24,2,2,1,2024-04-23 03:00,1,0.008,1,0.037
1,56,0.001,0.3,28,2,2,1,2024-04-23 02:00,1,0.008,1,0.037
1,54,0.001,0.3,33,2,2,1,2024-04-23 01:00,1,0.009,1,0.035
1,52,0.001,0.3,23,2,2,1,2024-04-22 24:00,1,0.011,1,0.032
1,53,0.001,0.3,24,2,2,1,2024-04-22 23:00,1,0.011,1,0.033
1,53,0.001,0.3,29,2,2,1,2024-04-22 22:00,1,0.010,1,0.033
1,52,0.001,0.3,26,2,2,1,2024-04-22 21:00,1,0.011,1,0.032
1,53,0.001,0.3,23,2,2,1,2024-04-22 20:00,1,0.011,1,0.034
1,53,0.001,0.3,27,2,2,1,2024-04-22 19:00,1,0.014,1,0.034
1,54,0.001,0.3,28,2,2,1,2024-04-22 18:00,1,0.015,1,0.035
1,58,0.001,0.3,24,2,2,1,2024-04-22 17:00,1,0.011,1,0.040
1,59,0.001,0.3,27,2,2,1,2024-04-22 16:00,1,0.009,1,0.041
1,56,0.001,0.3,31,2,2,1,2024-04-22 15:00,1,0.011,1,0.037
1,58,0.001,0.3,31,2,2,1,2024-04-22 14:00,1,0.009,1,0.039
