so2Grade,khaiValue,so2Value,coValue,pm10Value,o3Grade,khaiGrade,no2Grade,dataTime,coGrade,no2Value,pm10Grade,o3Value,coFlag,no2Flag,o3Flag,so2Flag,pm10Flag
1,63,0.002,0.2,34,2,2,1,2024-04-23 11:00,1,0.015,1,0.046,,,,,
1,62,0.002,0.2,35,2,2,1,2024-04-23 10:00,1,0.020,1,0.044,,,,,
1,58,0.002,0.3,33,2,2,1,2024-04-23 09:00,1,0.029,1,0.039,,,,,
1,35,0.002,0.2,20,1,1,1,2024-04-23 07:00,1,0.021,1,0.015,,,,,
1,32,0.002,0.2,13,1,1,1,2024-04-23 06:00,1,0.013,1,0.018,,,,,
1,33,0.002,0.2,19,1,1,1,2024-04-23 05:00,1,0.013,1,0.017,,,,,
1,37,0.002,0.2,15,1,1,1,2024-04-23 04:00,1,0.008,1,0.022,,,,,
1,38,0.002,0.2,17,1,1,1,2024-04-23 03:00,1,0.009,1,0.019,,,,,
1,40,0.002,0.2,17,1,1,1,2024-04-23 02:00,1,0.011,1,0.019,,,,,
1,43,0.002,0.2,17,1,1,1,2024-04-23 01:00,1,0.010,1,0.021,,,,,
1,47,0.002,0.2,18,1,1,1,2024-04-22 24:00,1,0.012,1,0.022,,,,,
1,51,0.002,0.2,23,2,2,1,2024-04-22 23:00,1,0.017,1,0.031,,,,,
1,57,0.002,0.2,24,2,2,1,2024-04-22 22:00,1,0.014,2,0.038,,,,,
1,55,0.002,0.2,27,2,2,1,2024-04-22 21:00,1,0.018,2,0.031,,,,,
1,57,0.002,0.2,32,2,2,1,2024-04-22 20:00,1,0.020,2,0.034,,,,,
1,59,0.002,0.2,36,2,2,1,2024-04-22 19:00,1,0.017,2,0.036,,,,,
1,59,0.002,0.2,36,2,2,1,2024-04-22 18:00,1,0.014,2,0.038,,,,,
1,60,0.002,0.2,44,2,2,1,2024-04-22 17:00,1,0.016,2,0.038,,,,,
1,-,0.002,0.2,42,2,,1,2024-04-22 16:00,1,0.013,,0.040,,,,,
,-,-,-,39,,,,2024-04-22 15:00,,-,,-,통신장애,통신장애,통신장애,통신장애,
,-,-,-,-,,,,2024-04-22 14:00,,-,,-,통신장애,통신장애,통신장애,통신장애,통신장애
,-,-,-,-,,,,2024-04-22 13:00,,-,2,-,통신장애,통신장애,통신장애,통신장애,통신장애
