so2Grade,khaiValue,so2Value,coValue,pm10Value,o3Grade,khaiGrade,no2Grade,dataTime,coGrade,no2Value,pm10Grade,o3Value,coFlag,pm10Flag,no2Flag,o3Flag,so2Flag
1,67,0.002,0.4,50,2,2,1,2024-04-23 12:00,1,0.006,2,0.050,,,,,
1,58,0.002,0.4,25,2,2,1,2024-04-23 11:00,1,0.008,1,0.040,,,,,
1,53,0.002,0.4,30,2,2,1,2024-04-23 10:00,1,0.009,1,0.033,,,,,
1,47,0.002,0.4,27,1,1,1,2024-04-23 09:00,1,0.011,1,0.022,,,,,
1,45,0.002,0.4,30,1,1,1,2024-04-23 08:00,1,0.013,1,0.011,,,,,
1,47,0.002,0.4,23,1,1,1,2024-04-23 07:00,1,0.013,1,0.007,,,,,
1,47,0.002,0.4,24,1,1,1,2024-04-23 06:00,1,0.009,1,0.011,,,,,
1,50,0.002,0.4,25,1,1,1,2024-04-23 05:00,1,0.007,1,0.021,,,,,
1,50,0.002,0.4,27,1,1,1,2024-04-23 04:00,1,0.006,1,0.019,,,,,
1,50,0.002,0.4,27,1,1,1,2024-04-23 03:00,1,0.006,1,0.017,,,,,
1,50,0.002,0.4,30,1,1,1,2024-04-23 02:00,1,0.007,1,0.013,,,,,
1,50,0.002,0.4,27,1,1,1,2024-04-23 01:00,1,0.008,1,0.017,,,,,
1,50,0.002,0.4,26,1,1,1,2024-04-22 24:00,1,0.009,1,0.020,,,,,
1,50,0.002,0.5,36,1,1,1,2024-04-22 23:00,1,0.011,1,0.015,,,,,
1,47,0.002,0.5,36,1,1,1,2024-04-22 22:00,1,0.011,1,0.019,,,,,
1,43,0.002,0.5,31,1,1,1,2024-04-22 21:00,1,0.012,1,0.022,,,,,
1,48,0.002,0.5,28,1,1,1,2024-04-22 20:00,1,0.011,1,0.029,,,,,
1,54,0.002,0.5,23,2,2,1,2024-04-22 19:00,1,0.011,1,0.035,,,,,
,-,-,-,-,,,,2024-04-22 18:00,,-,1,-,통신장애,통신장애,통신장애,통신장애,통신장애
,-,-,-,14,,,,2024-04-22 17:00,,-,1,-,통신장애,,통신장애,통신장애,통신장애
,-,-,-,14,,,,2024-04-22 16:00,,-,1,-,통신장애,,통신장애,통신장애,통신장애
1,53,0.002,0.4,20,2,2,1,2024-04-22 15:00,1,0.010,1,0.034,,,,,
1,42,0.002,0.4,24,1,1,1,2024-04-22 14:00,1,0.014,1,0.025,,,,,
