so2Grade,khaiValue,so2Value,coValue,pm10Value,khaiGrade,no2Grade,o3Flag,dataTime,coGrade,no2Value,pm10Grade,o3Value
1,61,0.003,0.2,93,2,1,통신장애,2024-04-23 11:00,1,0.009,2,-
1,50,0.003,0.2,35,1,1,통신장애,2024-04-23 10:00,1,0.009,1,-
1,47,0.003,0.3,35,1,1,통신장애,2024-04-23 09:00,1,0.019,1,-
1,48,0.003,0.4,30,1,1,통신장애,2024-04-23 08:00,1,0.029,1,-
1,45,0.003,0.3,27,1,1,통신장애,2024-04-23 07:00,1,0.020,1,-
1,45,0.003,0.2,25,1,1,통신장애,2024-04-23 06:00,1,0.009,1,-
1,45,0.003,0.2,28,1,1,통신장애,2024-04-23 05:00,1,0.008,1,-
1,45,0.003,0.2,26,1,1,통신장애,2024-04-23 04:00,1,0.007,1,-
1,47,0.003,0.2,24,1,1,통신장애,2024-04-23 03:00,1,0.007,1,-
1,47,0.003,0.2,22,1,1,통신장애,2024-04-23 02:00,1,0.007,1,-
1,50,0.003,0.2,26,1,1,통신장애,2024-04-23 01:00,1,0.008,1,-
1,52,0.003,0.2,28,2,1,통신장애,2024-04-22 24:00,1,0.009,2,-
1,53,0.003,0.3,24,2,1,통신장애,2024-04-22 23:00,1,0.010,2,-
1,55,0.003,0.4,35,2,1,통신장애,2024-04-22 22:00,1,0.023,2,-
1,55,0.003,0.3,38,2,1,통신장애,2024-04-22 21:00,1,0.019,2,-
1,53,0.003,0.3,32,2,1,통신장애,2024-04-22 20:00,1,0.019,2,-
1,54,0.003,0.3,34,2,1,통신장애,2024-04-22 19:00,1,0.020,2,-
1,54,0.003,0.3,35,2,1,통신장애,2024-04-22 18:00,1,0.015,2,-
1,53,0.002,0.2,28,2,1,통신장애,2024-04-22 17:00,1,0.013,2,-
1,54,0.002,0.2,38,2,1,통신장애,2024-04-22 16:00,1,0.016,2,-
1,53,0.002,0.2,40,2,1,통신장애,2024-04-22 15:00,1,0.012,2,-
1,53,0.002,0.2,33,2,1,통신장애,2024-04-22 14:00,1,0.011,2,-
