so2Grade,khaiValue,so2Value,coValue,pm10Value,o3Grade,khaiGrade,no2Grade,dataTime,coGrade,no2Value,pm10Grade,o3Value
1,69,0.003,0.3,21,2,2,1,2024-04-23 11:00,1,0.010,1,0.053
1,65,0.002,0.3,26,2,2,1,2024-04-23 10:00,1,0.012,1,0.048
1,64,0.003,0.5,29,2,2,1,2024-04-23 09:00,1,0.014,1,0.047
1,62,0.002,0.4,22,2,2,1,2024-04-23 08:00,1,0.016,1,0.044
1,56,0.002,0.4,21,2,2,1,2024-04-23 07:00,1,0.022,1,0.036
1,59,0.003,0.4,20,1,2,1,2024-04-23 06:00,1,0.019,2,0.030
1,64,0.002,0.3,23,2,2,1,2024-04-23 05:00,1,0.012,2,0.038
1,66,0.003,0.3,24,2,2,1,2024-04-23 04:00,1,0.010,2,0.039
1,72,0.003,0.3,28,2,2,1,2024-04-23 03:00,1,0.011,2,0.038
1,74,0.003,0.4,46,2,2,1,2024-04-23 02:00,1,0.017,2,0.038
1,72,0.003,0.4,56,2,2,1,2024-04-23 01:00,1,0.023,2,0.043
1,72,0.003,0.5,51,2,2,1,2024-04-22 24:00,1,0.027,2,0.049
1,69,0.003,0.4,52,2,2,1,2024-04-22 23:00,1,0.028,2,0.051
1,69,0.003,0.5,51,2,2,2,2024-04-22 22:00,1,0.037,2,0.040
1,73,0.003,0.5,47,2,2,2,2024-04-22 21:00,1,0.044,2,0.038
1,70,0.003,0.4,45,2,2,2,2024-04-22 20:00,1,0.042,2,0.047
1,81,0.003,0.4,45,2,2,1,2024-04-22 19:00,1,0.026,2,0.067
1,84,0.003,0.4,35,2,2,1,2024-04-22 18:00,1,0.018,2,0.071
1,83,0.003,0.3,35,2,2,1,2024-04-22 17:00,1,0.010,2,0.070
1,84,0.002,0.3,37,2,2,1,2024-04-22 16:00,1,0.009,2,0.071
1,83,0.003,0.3,35,2,2,1,2024-04-22 15:00,1,0.009,2,0.070
1,79,0.003,0.3,32,2,2,1,2024-04-22 14:00,1,0.008,2,0.065
1,73,0.003,0.3,36,2,2,1,2024-04-22 13:00,1,0.010,2,0.057
