so2Grade,khaiValue,so2Value,coValue,pm10Value,o3Grade,khaiGrade,no2Grade,dataTime,coGrade,no2Value,pm10Grade,o3Value
1,48,0.002,0.4,14,1,1,1,2024-04-23 11:00,1,0.005,1,0.029
1,45,0.002,0.4,21,1,1,1,2024-04-23 10:00,1,0.006,1,0.027
1,43,0.002,0.4,21,1,1,1,2024-04-23 09:00,1,0.006,1,0.023
1,47,0.002,0.4,15,1,1,1,2024-04-23 08:00,1,0.007,1,0.021
1,51,0.002,0.4,22,1,2,1,2024-04-23 07:00,1,0.007,2,0.016
1,53,0.002,0.4,22,1,2,1,2024-04-23 06:00,1,0.006,2,0.015
1,54,0.002,0.4,30,1,2,1,2024-04-23 05:00,1,0.006,2,0.009
1,54,0.002,0.4,26,1,2,1,2024-04-23 04:00,1,0.006,2,0.014
1,56,0.002,0.4,33,1,2,1,2024-04-23 03:00,1,0.006,2,0.015
1,59,0.002,0.4,33,1,2,1,2024-04-23 02:00,1,0.007,2,0.005
1,61,0.002,0.5,28,1,2,1,2024-04-23 01:00,1,0.007,2,0.009
1,65,0.002,0.5,36,1,2,1,2024-04-22 24:00,1,0.008,2,0.008
1,66,0.002,0.5,54,1,2,1,2024-04-22 23:00,1,0.008,2,0.006
1,64,0.002,0.5,52,1,2,1,2024-04-22 22:00,1,0.008,2,0.007
1,60,0.002,0.5,55,1,2,1,2024-04-22 21:00,1,0.009,2,0.012
1,55,0.002,0.4,51,2,2,1,2024-04-22 20:00,1,0.009,2,0.034
1,55,0.002,0.4,43,2,2,1,2024-04-22 19:00,1,0.010,2,0.035
1,56,0.002,0.4,20,2,2,1,2024-04-22 18:00,1,0.009,2,0.037
1,57,0.002,0.5,25,2,2,1,2024-04-22 17:00,1,0.010,2,0.035
1,60,0.002,0.4,49,2,2,1,2024-04-22 16:00,1,0.008,2,0.042
1,59,0.002,0.4,46,2,2,1,2024-04-22 15:00,1,0.010,2,0.041
1,55,0.002,0.4,21,1,2,1,2024-04-22 14:00,1,0.006,2,0.024
