so2Grade,khaiValue,so2Value,coValue,pm10Value,o3Grade,khaiGrade,no2Grade,dataTime,coGrade,no2Value,pm10Grade,o3Value
1,90,0.005,0.5,55,1,2,2,2024-04-23 11:00,1,0.054,2,0.018
1,88,0.005,0.5,58,1,2,2,2024-04-23 10:00,1,0.053,2,0.016
1,83,0.005,0.5,65,1,2,2,2024-04-23 09:00,1,0.050,2,0.017
1,88,0.005,0.5,73,1,2,2,2024-04-23 08:00,1,0.053,2,0.016
1,81,0.005,0.5,55,1,2,2,2024-04-23 07:00,1,0.049,2,0.015
1,79,0.005,0.4,54,1,2,2,2024-04-23 06:00,1,0.046,2,0.013
1,85,0.004,0.4,43,1,2,2,2024-04-23 05:00,1,0.033,2,0.021
1,87,0.004,0.4,48,1,2,1,2024-04-23 04:00,1,0.021,2,0.029
1,87,0.004,0.4,58,2,2,1,2024-04-23 03:00,1,0.020,2,0.032
1,87,0.004,0.5,69,2,2,1,2024-04-23 02:00,1,0.026,2,0.039
1,79,0.004,0.5,51,2,2,1,2024-04-23 01:00,1,0.029,2,0.046
1,79,0.004,0.5,53,2,2,2,2024-04-22 24:00,1,0.035,2,0.040
1,79,0.004,0.5,55,2,2,2,2024-04-22 23:00,1,0.037,2,0.042
1,77,0.004,0.5,60,2,2,2,2024-04-22 22:00,1,0.042,2,0.037
1,80,0.004,0.5,47,2,2,1,2024-04-22 21:00,1,0.020,2,0.066
1,77,0.004,0.4,48,2,2,2,2024-04-22 20:00,1,0.035,2,0.053
1,85,0.004,0.4,47,2,2,1,2024-04-22 19:00,1,0.022,2,0.072
1,81,0.004,0.5,71,2,2,2,2024-04-22 18:00,1,0.049,2,0.046
1,79,0.004,0.4,60,2,2,2,2024-04-22 17:00,1,0.036,2,0.056
1,82,0.004,0.4,50,2,2,1,2024-04-22 16:00,1,0.019,2,0.068
1,79,0.004,0.4,56,2,2,2,2024-04-22 15:00,1,0.031,2,0.048
1,80,0.004,0.5,46,2,2,2,2024-04-22 14:00,1,0.042,2,0.033
