so2Grade,khaiValue,so2Value,coValue,pm10Value,o3Grade,khaiGrade,no2Grade,dataTime,coGrade,no2Value,pm10Grade,o3Value,coFlag,pm10Flag,no2Flag,o3Flag,so2Flag
1,57,0.004,0.3,33,2,2,1,2024-04-23 11:00,1,0.025,2,0.036,,,,,
1,59,0.004,0.3,41,2,2,1,2024-04-23 10:00,1,0.027,2,0.033,,,,,
1,58,0.004,0.3,30,1,2,1,2024-04-23 09:00,1,0.026,2,0.029,,,,,
1,59,0.004,0.3,37,1,2,2,2024-04-23 08:00,1,0.036,2,0.022,,,,,
1,71,0.004,0.3,41,1,2,2,2024-04-23 07:00,1,0.043,2,0.009,,,,,
1,66,0.004,0.3,32,1,2,2,2024-04-23 06:00,1,0.040,2,0.010,,,,,
1,64,0.004,0.2,26,1,2,1,2024-04-23 05:00,1,0.027,2,0.024,,,,,
1,77,0.004,0.2,27,1,2,1,2024-04-23 04:00,1,0.017,2,0.029,,,,,
1,77,0.004,0.3,35,1,2,1,2024-04-23 03:00,1,0.029,2,0.014,,,,,
1,82,0.004,0.4,52,1,2,2,2024-04-23 02:00,1,0.038,2,0.012,,,,,
1,77,0.004,0.5,62,1,2,2,2024-04-23 01:00,1,0.035,2,0.017,,,,,
1,67,0.004,0.3,55,2,2,1,2024-04-22 24:00,1,0.023,2,0.043,,,,,
1,73,0.004,0.3,39,2,2,1,2024-04-22 23:00,1,0.018,2,0.057,,,,,
1,75,0.004,0.3,45,2,2,1,2024-04-22 22:00,1,0.021,2,0.060,,,,,
1,66,0.005,0.3,48,2,2,1,2024-04-22 21:00,1,0.027,2,0.049,,,,,
1,78,0.004,0.3,38,2,2,1,2024-04-22 20:00,1,0.018,2,0.064,,,,,
1,87,0.007,0.3,42,2,2,1,2024-04-22 19:00,1,0.014,2,0.074,,,,,
,-,-,-,-,,,,2024-04-22 18:00,,-,2,-,통신장애,통신장애,통신장애,통신장애,통신장애
1,72,0.006,0.6,114,2,2,1,2024-04-22 17:00,1,0.028,2,0.055,,,,,
1,71,0.005,0.3,46,2,2,1,2024-04-22 16:00,1,0.024,2,0.055,,,,,
1,78,0.004,0.3,33,2,2,1,2024-04-22 15:00,1,0.010,2,0.064,,,,,
1,72,0.003,0.3,27,2,2,1,2024-04-22 14:00,1,0.012,2,0.056,,,,,
