so2Grade,khaiValue,so2Value,coValue,pm10Value,o3Grade,khaiGrade,no2Grade,dataTime,coGrade,no2Value,pm10Grade,o3Value
1,71,0.001,0.2,24,2,2,1,2024-04-23 10:00,1,0.004,1,0.055
1,56,0.001,0.2,28,2,2,1,2024-04-23 09:00,1,0.013,1,0.037
1,37,0.001,0.2,25,1,1,1,2024-04-23 08:00,1,0.017,1,0.013
1,33,0.001,0.2,19,1,1,1,2024-04-23 07:00,1,0.010,1,0.010
1,35,0.001,0.2,17,1,1,1,2024-04-23 06:00,1,0.010,1,0.010
1,37,0.001,0.2,19,1,1,1,2024-04-23 05:00,1,0.007,1,0.017
1,38,0.001,0.2,19,1,1,1,2024-04-23 04:00,1,0.007,1,0.021
1,43,0.001,0.2,23,1,1,1,2024-04-23 03:00,1,0.006,1,0.026
1,50,0.001,0.2,23,1,1,1,2024-04-23 02:00,1,0.005,1,0.030
1,54,0.001,0.2,24,2,2,1,2024-04-23 01:00,1,0.005,1,0.035
1,69,0.001,0.2,15,2,2,1,2024-04-22 24:00,1,0.003,1,0.053
1,73,0.001,0.2,20,2,2,1,2024-04-22 23:00,1,0.002,1,0.058
1,73,0.001,0.2,26,2,2,1,2024-04-22 22:00,1,0.003,1,0.058
1,73,0.001,0.2,24,2,2,1,2024-04-22 21:00,1,0.003,1,0.058
1,75,0.001,0.2,30,2,2,1,2024-04-22 20:00,1,0.003,2,0.060
1,76,0.001,0.2,26,2,2,1,2024-04-22 19:00,1,0.003,2,0.061
1,77,0.001,0.2,30,2,2,1,2024-04-22 18:00,1,0.003,2,0.062
1,76,0.001,0.2,32,2,2,1,2024-04-22 17:00,1,0.005,2,0.061
1,76,0.001,0.2,31,2,2,1,2024-04-22 16:00,1,0.004,2,0.061
1,76,0.001,0.2,30,2,2,1,2024-04-22 15:00,1,0.004,2,0.061
1,76,0.001,0.2,32,2,2,1,2024-04-22 14:00,1,0.004,2,0.061
1,75,0.001,0.2,33,2,2,1,2024-04-22 13:00,1,0.004,2,0.060
1,75,0.001,0.2,35,2,2,1,2024-04-22 12:00,1,0.004,2,0.060
