so2Grade,khaiValue,so2Value,coValue,pm10Value,o3Grade,khaiGrade,no2Grade,dataTime,coGrade,no2Value,pm10Grade,o3Value
1,64,0.003,0.3,20,2,2,1,2024-04-23 11:00,1,0.009,1,0.047
1,58,0.003,0.4,21,2,2,1,2024-04-23 10:00,1,0.016,1,0.040
1,55,0.003,0.4,19,2,2,1,2024-04-23 09:00,1,0.018,1,0.036
1,51,0.003,0.4,21,2,2,1,2024-04-23 08:00,1,0.025,1,0.031
1,68,0.003,0.5,29,1,2,2,2024-04-23 07:00,1,0.041,1,0.012
1,78,0.003,0.5,23,1,2,2,2024-04-23 06:00,1,0.047,1,0.004
1,43,0.003,0.4,22,1,1,1,2024-04-23 05:00,1,0.025,1,0.026
1,51,0.003,0.4,18,2,2,1,2024-04-23 04:00,1,0.022,1,0.031
1,54,0.002,0.4,20,2,2,1,2024-04-23 03:00,1,0.017,1,0.035
1,58,0.003,0.3,17,2,2,1,2024-04-23 02:00,1,0.010,1,0.039
1,58,0.002,0.3,27,2,2,1,2024-04-23 01:00,1,0.008,1,0.039
1,57,0.002,0.4,22,2,2,1,2024-04-22 24:00,1,0.010,1,0.038
1,58,0.002,0.3,25,2,2,1,2024-04-22 23:00,1,0.010,1,0.040
1,58,0.002,0.4,28,2,2,1,2024-04-22 22:00,1,0.012,2,0.039
1,59,0.002,0.4,29,2,2,1,2024-04-22 21:00,1,0.011,2,0.041
1,58,0.001,0.4,30,2,2,1,2024-04-22 20:00,1,0.019,2,0.040
1,64,0.002,0.4,42,2,2,1,2024-04-22 19:00,1,0.016,2,0.047
1,68,0.001,0.4,36,2,2,1,2024-04-22 18:00,1,0.012,2,0.051
1,68,0.001,0.4,29,2,2,1,2024-04-22 17:00,1,0.011,2,0.051
1,70,0.001,0.4,32,2,2,1,2024-04-22 16:00,1,0.012,2,0.054
1,68,0.001,0.4,32,2,2,1,2024-04-22 15:00,1,0.011,2,0.051
1,66,0.002,0.4,33,2,2,1,2024-04-22 14:00,1,0.013,2,0.049
