so2Grade,khaiValue,so2Value,coValue,pm10Value,o3Grade,khaiGrade,no2Grade,dataTime,coGrade,no2Value,pm10Grade,o3Value,no2Flag
1,32,0.002,0.3,15,1,1,1,2024-04-23 11:00,1,0.008,1,0.019,
1,33,0.002,0.3,17,1,1,1,2024-04-23 10:00,1,0.005,1,0.020,
1,37,0.002,0.3,16,1,1,1,2024-04-23 09:00,1,0.006,1,0.018,
1,37,0.002,0.3,20,1,1,1,2024-04-23 08:00,1,0.006,1,0.015,
1,37,0.002,0.3,19,1,1,1,2024-04-23 07:00,1,0.007,1,0.012,
1,37,0.002,0.3,19,1,1,1,2024-04-23 06:00,1,0.006,1,0.012,
1,37,0.002,0.3,15,1,1,1,2024-04-23 05:00,1,0.006,1,0.011,
1,40,0.002,0.3,20,1,1,1,2024-04-23 04:00,1,0.006,1,0.011,
1,40,0.002,0.3,14,1,1,1,2024-04-23 03:00,1,0.006,1,0.012,
1,43,0.002,0.3,24,1,1,1,2024-04-23 02:00,1,0.005,1,0.011,
1,40,0.002,0.3,20,1,1,1,2024-04-23 01:00,1,0.006,1,0.010,
1,42,0.002,0.3,16,1,1,1,2024-04-22 24:00,1,0.008,1,0.009,
1,43,0.002,0.3,35,1,1,1,2024-04-22 23:00,1,0.016,1,0.008,
1,40,0.002,0.3,38,1,1,1,2024-04-22 22:00,1,0.006,1,0.013,
1,35,0.002,0.3,25,1,1,1,2024-04-22 21:00,1,0.006,1,0.011,
1,35,0.002,0.3,21,1,1,1,2024-04-22 20:00,1,0.006,1,0.012,
1,37,0.002,0.3,21,1,1,1,2024-04-22 19:00,1,0.006,1,0.011,
1,35,0.002,0.3,16,1,1,1,2024-04-22 18:00,1,0.006,1,0.013,
1,-,0.002,0.4,19,1,,,2024-04-22 17:00,1,-,1,0.013,통신장애
1,-,0.002,0.4,19,1,,,2024-04-22 16:00,1,-,1,0.009,통신장애
1,-,0.002,0.4,14,1,,,2024-04-22 15:00,1,-,1,0.010,통신장애
1,-,0.002,0.4,16,1,,,2024-04-22 14:00,1,-,1,0.012,통신장애
