so2Grade,khaiValue,so2Value,coValue,pm10Value,o3Grade,khaiGrade,no2Grade,dataTime,coGrade,no2Value,pm10Grade,o3Value,coFlag,pm10Flag,no2Flag,o3Flag,so2Flag
1,65,0.002,0.3,27,2,2,1,2024-04-23 11:00,1,0.011,2,0.048,,,,,
1,60,0.002,0.3,37,2,2,1,2024-04-23 10:00,1,0.015,2,0.042,,,,,
1,60,0.002,0.3,44,2,2,1,2024-04-23 09:00,1,0.013,1,0.042,,,,,
1,45,0.002,0.4,35,1,1,1,2024-04-23 08:00,1,0.025,1,0.027,,,,,
1,51,0.002,0.4,26,1,2,2,2024-04-23 07:00,1,0.031,1,0.016,,,,,
1,48,0.002,0.4,19,1,1,1,2024-04-23 06:00,1,0.029,1,0.014,,,,,
1,43,0.002,0.3,19,1,1,1,2024-04-23 05:00,1,0.017,1,0.025,,,,,
1,57,0.002,0.3,23,2,2,1,2024-04-23 04:00,1,0.011,1,0.038,,,,,
1,53,0.002,0.3,21,2,2,1,2024-04-23 03:00,1,0.013,1,0.034,,,,,
1,59,0.002,0.3,31,2,2,1,2024-04-23 02:00,1,0.011,1,0.041,,,,,
1,63,0.002,0.3,21,2,2,1,2024-04-23 01:00,1,0.007,1,0.045,,,,,
1,61,0.002,0.3,26,2,2,1,2024-04-22 24:00,1,0.008,2,0.043,,,,,
1,62,0.002,0.3,28,2,2,1,2024-04-22 23:00,1,0.009,2,0.044,,,,,
1,63,0.002,0.3,35,2,2,1,2024-04-22 22:00,1,0.009,2,0.045,,,,,
1,65,0.002,0.3,37,2,2,1,2024-04-22 21:00,1,0.008,2,0.048,,,,,
1,64,0.002,0.3,40,2,2,1,2024-04-22 20:00,1,0.010,2,0.047,,,,,
1,64,0.002,0.3,30,2,2,1,2024-04-22 19:00,1,0.012,2,0.046,,,,,
1,66,0.002,0.3,36,2,2,1,2024-04-22 18:00,1,0.011,2,0.049,,,,,
1,-,0.002,0.3,36,2,,1,2024-04-22 17:00,1,0.013,,0.048,,,,,
1,-,0.002,0.3,42,2,,1,2024-04-22 16:00,1,0.015,,0.047,,,,,
,-,-,-,-,,,,2024-04-22 15:00,,-,,-,통신장애,통신장애,통신장애,통신장애,통신장애
,-,-,-,-,,,,2024-04-22 14:00,,-,2,-,통신장애,통신장애,통신장애,통신장애,통신장애
1,73,0.002,0.3,47,2,2,1,2024-04-22 13:00,1,0.012,2,0.047,,,,,
