so2Grade,khaiValue,so2Value,coValue,pm10Value,o3Grade,khaiGrade,no2Grade,dataTime,coGrade,no2Value,pm10Grade,o3Value
1,76,0.002,0.4,18,2,2,1,2024-04-23 11:00,1,0.006,1,0.061
1,71,0.002,0.4,13,2,2,1,2024-04-23 10:00,1,0.008,1,0.055
1,68,0.002,0.4,19,2,2,1,2024-04-23 09:00,1,0.008,1,0.052
1,59,0.002,0.4,25,2,2,1,2024-04-23 08:00,1,0.015,2,0.031
1,64,0.002,0.3,26,1,2,1,2024-04-23 07:00,1,0.017,2,0.013
1,72,0.002,0.3,23,1,2,1,2024-04-23 06:00,1,0.015,2,0.012
1,77,0.002,0.3,25,1,2,1,2024-04-23 05:00,1,0.011,2,0.015
1,79,0.002,0.3,35,1,2,1,2024-04-23 04:00,1,0.012,2,0.014
1,79,0.002,0.4,49,1,2,1,2024-04-23 03:00,1,0.016,2,0.010
1,74,0.002,0.4,45,1,2,1,2024-04-23 02:00,1,0.014,2,0.015
1,72,0.002,0.4,38,1,2,1,2024-04-23 01:00,1,0.016,2,0.015
1,69,0.002,0.4,45,1,2,1,2024-04-22 24:00,1,0.016,2,0.020
1,69,0.002,0.5,55,1,2,1,2024-04-22 23:00,1,0.021,2,0.023
1,69,0.003,0.4,57,2,2,1,2024-04-22 22:00,1,0.019,2,0.040
1,66,0.003,0.5,55,2,2,1,2024-04-22 21:00,1,0.020,2,0.041
1,72,0.003,0.4,49,2,2,1,2024-04-22 20:00,1,0.021,2,0.056
1,81,0.003,0.5,46,2,2,1,2024-04-22 19:00,1,0.019,2,0.067
1,87,0.003,0.4,46,2,2,1,2024-04-22 18:00,1,0.011,2,0.074
1,86,0.003,0.4,38,2,2,1,2024-04-22 17:00,1,0.006,2,0.073
1,79,0.002,0.4,34,2,2,1,2024-04-22 16:00,1,0.007,2,0.065
1,84,0.002,0.4,27,2,2,1,2024-04-22 15:00,1,0.006,2,0.071
1,83,0.002,0.4,31,2,2,1,2024-04-22 14:00,1,0.006,2,0.070
