so2Grade,khaiValue,so2Value,coValue,pm10Value,o3Grade,khaiGrade,no2Grade,dataTime,coGrade,no2Value,pm10Grade,o3Value
1,69,0.001,0.3,39,2,2,1,2024-04-23 11:00,1,0.008,2,0.053
1,66,0.001,0.3,41,2,2,1,2024-04-23 10:00,1,0.008,2,0.049
1,62,0.002,0.3,53,2,2,1,2024-04-23 09:00,1,0.011,2,0.044
1,63,0.001,0.3,33,2,2,1,2024-04-23 08:00,1,0.007,2,0.046
1,61,0.001,0.3,29,2,2,1,2024-04-23 07:00,1,0.012,2,0.040
1,66,0.002,0.3,39,2,2,1,2024-04-23 06:00,1,0.007,2,0.040
1,64,0.002,0.3,40,2,2,1,2024-04-23 05:00,1,0.010,2,0.033
1,64,0.001,0.3,36,2,2,1,2024-04-23 04:00,1,0.007,2,0.034
1,69,0.002,0.3,52,1,2,1,2024-04-23 03:00,1,0.012,2,0.025
1,66,0.002,0.3,36,1,2,1,2024-04-23 02:00,1,0.010,2,0.024
1,66,0.002,0.3,41,1,2,1,2024-04-23 01:00,1,0.010,2,0.026
1,66,0.002,0.4,58,1,2,1,2024-04-22 24:00,1,0.017,2,0.021
1,59,0.002,0.3,48,1,2,1,2024-04-22 23:00,1,0.012,2,0.029
1,63,0.002,0.3,48,2,2,1,2024-04-22 22:00,1,0.010,2,0.045
1,69,0.002,0.3,45,2,2,1,2024-04-22 21:00,1,0.007,2,0.053
1,65,0.002,0.3,26,2,2,1,2024-04-22 20:00,1,0.006,1,0.048
1,58,0.002,0.3,26,2,2,1,2024-04-22 19:00,1,0.008,1,0.039
1,56,0.001,0.3,26,2,2,1,2024-04-22 18:00,1,0.007,2,0.037
1,56,0.002,0.3,23,2,2,1,2024-04-22 17:00,1,0.008,2,0.037
1,58,0.002,0.3,30,2,2,1,2024-04-22 16:00,1,0.008,2,0.037
1,59,0.003,0.3,41,2,2,1,2024-04-22 15:00,1,0.011,2,0.039
1,64,0.002,0.3,42,2,2,1,2024-04-22 14:00,1,0.010,2,0.047
