so2Grade,khaiValue,so2Value,coValue,pm10Value,o3Grade,khaiGrade,no2Grade,dataTime,coGrade,no2Value,pm10Grade,o3Value
1,68,0.004,0.3,44,2,2,1,2024-04-23 11:00,1,0.013,2,0.052
1,65,0.002,0.3,39,2,2,1,2024-04-23 10:00,1,0.013,2,0.048
1,63,0.003,0.3,54,2,2,1,2024-04-23 09:00,1,0.016,2,0.044
1,64,0.004,0.3,49,2,2,1,2024-04-23 08:00,1,0.020,2,0.037
1,69,0.002,0.3,27,1,2,1,2024-04-23 07:00,1,0.020,2,0.030
1,72,0.003,0.3,39,2,2,1,2024-04-23 06:00,1,0.015,2,0.035
1,74,0.003,0.3,45,1,2,1,2024-04-23 05:00,1,0.016,2,0.027
1,77,0.002,0.3,36,1,2,1,2024-04-23 04:00,1,0.014,2,0.022
1,74,0.001,0.4,37,1,2,1,2024-04-23 03:00,1,0.013,2,0.020
1,74,0.002,0.4,40,1,2,1,2024-04-23 02:00,1,0.014,2,0.018
1,72,0.002,0.4,48,1,2,1,2024-04-23 01:00,1,0.020,2,0.016
1,72,0.002,0.3,54,1,2,1,2024-04-22 24:00,1,0.023,2,0.023
1,69,0.002,0.3,50,1,2,1,2024-04-22 23:00,1,0.020,2,0.029
1,64,0.002,0.3,50,2,2,1,2024-04-22 22:00,1,0.023,2,0.034
1,59,0.002,0.3,43,1,2,1,2024-04-22 21:00,1,0.025,2,0.029
1,56,0.002,0.3,28,1,2,1,2024-04-22 20:00,1,0.020,2,0.028
1,54,0.002,0.3,25,1,2,1,2024-04-22 19:00,1,0.026,2,0.019
1,59,0.002,0.3,20,1,2,1,2024-04-22 18:00,1,0.018,2,0.026
1,62,0.002,0.3,39,1,2,1,2024-04-22 17:00,1,0.026,2,0.021
1,62,0.002,0.3,50,1,2,1,2024-04-22 16:00,1,0.027,2,0.021
1,59,0.002,0.4,58,1,2,1,2024-04-22 15:00,1,0.025,2,0.030
1,62,0.003,0.4,44,2,2,1,2024-04-22 14:00,1,0.017,2,0.044
