so2Grade,khaiValue,so2Value,coValue,pm10Value,o3Grade,khaiGrade,no2Grade,dataTime,coGrade,no2Value,pm10Grade,o3Value,coFlag,pm10Flag,no2Flag,o3Flag,so2Flag
1,66,0.001,0.4,25,2,2,1,2024-04-23 10:00,1,0.010,1,0.049,,,,,
1,64,0.001,0.4,23,2,2,1,2024-04-23 09:00,1,0.011,1,0.047,,,,,
1,63,0.001,0.4,21,2,2,1,2024-04-23 08:00,1,0.012,1,0.045,,,,,
1,63,0.001,0.4,22,2,2,1,2024-04-23 07:00,1,0.011,1,0.046,,,,,
1,64,0.001,0.3,21,2,2,1,2024-04-23 06:00,1,0.007,1,0.047,,,,,
1,61,0.001,0.3,21,2,2,1,2024-04-23 05:00,1,0.008,1,0.043,,,,,
1,63,0.001,0.3,27,2,2,1,2024-04-23 04:00,1,0.005,2,0.046,,,,,
1,62,0.001,0.3,20,2,2,1,2024-04-23 03:00,1,0.005,2,0.044,,,,,
1,62,0.001,0.4,30,2,2,1,2024-04-23 02:00,1,0.005,2,0.044,,,,,
1,58,0.001,0.4,41,2,2,1,2024-04-23 01:00,1,0.012,2,0.040,,,,,
1,62,0.002,0.4,37,2,2,1,2024-04-22 24:00,1,0.017,2,0.044,,,,,
1,59,0.001,0.4,33,2,2,1,2024-04-22 23:00,1,0.014,2,0.041,,,,,
1,56,0.001,0.4,43,2,2,1,2024-04-22 22:00,1,0.024,2,0.037,,,,,
1,65,0.001,0.4,37,2,2,1,2024-04-22 21:00,1,0.018,2,0.048,,,,,
1,73,0.001,0.3,30,2,2,1,2024-04-22 20:00,1,0.011,2,0.057,,,,,
1,76,0.001,0.3,29,2,2,1,2024-04-22 19:00,1,0.010,2,0.061,,,,,
1,-,0.001,0.3,33,2,,1,2024-04-22 18:00,1,0.006,,0.066,,,,,
1,-,0.001,0.3,43,2,,1,2024-04-22 17:00,1,0.006,,0.068,,,,,
,-,-,-,-,,,,2024-04-22 16:00,,-,,-,통신장애,통신장애,통신장애,통신장애,통신장애
,-,-,-,-,,,,2024-04-22 15:00,,-,2,-,통신장애,통신장애,통신장애,통신장애,통신장애
1,77,0.001,0.4,35,2,2,1,2024-04-22 14:00,1,0.008,2,0.062,,,,,
1,73,0.001,0.4,36,2,2,1,2024-04-22 13:00,1,0.007,2,0.058,,,,,
1,68,0.001,0.4,35,2,2,1,2024-04-22 12:00,1,0.009,2,0.052,,,,,
