so2Grade,khaiValue,so2Value,coValue,pm10Value,o3Grade,khaiGrade,no2Grade,dataTime,coGrade,no2Value,pm10Grade,o3Value
1,68,0.002,0.2,24,2,2,1,2024-04-23 11:00,1,0.003,1,0.051
1,63,0.002,0.2,23,2,2,1,2024-04-23 10:00,1,0.003,1,0.045
1,55,0.002,0.2,19,2,2,1,2024-04-23 09:00,1,0.003,1,0.036
1,37,0.002,0.2,22,1,1,1,2024-04-23 08:00,1,0.003,1,0.022
1,33,0.002,0.2,18,1,1,1,2024-04-23 07:00,1,0.002,1,0.012
1,33,0.002,0.2,21,1,1,1,2024-04-23 06:00,1,0.002,1,0.012
1,33,0.002,0.2,21,1,1,1,2024-04-23 05:00,1,0.002,1,0.013
1,33,0.002,0.2,16,1,1,1,2024-04-23 04:00,1,0.003,1,0.011
1,33,0.002,0.2,19,1,1,1,2024-04-23 03:00,1,0.003,1,0.013
1,32,0.002,0.2,20,1,1,1,2024-04-23 02:00,1,0.003,1,0.011
1,33,0.002,0.2,16,1,1,1,2024-04-23 01:00,1,0.003,1,0.011
1,35,0.002,0.2,17,1,1,1,2024-04-22 24:00,1,0.003,1,0.011
1,37,0.002,0.2,13,1,1,1,2024-04-22 23:00,1,0.003,1,0.009
1,42,0.002,0.2,21,1,1,1,2024-04-22 22:00,1,0.003,1,0.012
1,42,0.002,0.2,25,1,1,1,2024-04-22 21:00,1,0.004,1,0.009
1,43,0.002,0.3,25,1,1,1,2024-04-22 20:00,1,0.005,1,0.017
1,53,0.002,0.3,33,2,2,1,2024-04-22 19:00,1,0.006,1,0.034
1,57,0.002,0.3,25,2,2,1,2024-04-22 18:00,1,0.005,1,0.038
1,55,0.002,0.3,32,2,2,1,2024-04-22 17:00,1,0.005,1,0.036
1,57,0.002,0.2,22,2,2,1,2024-04-22 16:00,1,0.004,1,0.038
1,58,0.002,0.2,19,2,2,1,2024-04-22 15:00,1,0.003,1,0.040
1,58,0.002,0.2,23,2,2,1,2024-04-22 14:00,1,0.003,1,0.039
1,57,0.002,0.2,26,2,2,1,2024-04-22 13:00,1,0.003,1,0.038
