so2Grade,khaiValue,so2Value,coValue,pm10Value,o3Grade,khaiGrade,no2Grade,dataTime,coGrade,no2Value,pm10Grade,o3Value
1,67,0.003,0.4,28,2,2,1,2024-04-23 11:00,1,0.015,1,0.050
1,64,0.003,0.4,24,2,2,1,2024-04-23 10:00,1,0.017,2,0.047
1,60,0.002,0.4,25,2,2,1,2024-04-23 09:00,1,0.021,2,0.042
1,57,0.002,0.4,29,2,2,1,2024-04-23 08:00,1,0.025,2,0.038
1,56,0.003,0.4,28,1,2,2,2024-04-23 07:00,1,0.032,2,0.028
1,59,0.003,0.4,28,2,2,1,2024-04-23 06:00,1,0.023,2,0.032
1,61,0.003,0.4,30,2,2,1,2024-04-23 05:00,1,0.016,2,0.036
1,64,0.003,0.3,26,2,2,1,2024-04-23 04:00,1,0.011,2,0.042
1,69,0.004,0.4,39,2,2,1,2024-04-23 03:00,1,0.017,2,0.037
1,69,0.003,0.5,56,2,2,1,2024-04-23 02:00,1,0.027,2,0.035
1,66,0.003,0.4,51,2,2,1,2024-04-23 01:00,1,0.023,2,0.046
1,75,0.003,0.4,45,2,2,1,2024-04-22 24:00,1,0.020,2,0.060
1,75,0.003,0.4,43,2,2,1,2024-04-22 23:00,1,0.022,2,0.060
1,80,0.003,0.4,41,2,2,1,2024-04-22 22:00,1,0.020,2,0.066
1,86,0.003,0.4,44,2,2,1,2024-04-22 21:00,1,0.020,2,0.073
1,83,0.004,0.4,44,2,2,1,2024-04-22 20:00,1,0.028,2,0.070
1,92,0.003,0.4,38,2,2,1,2024-04-22 19:00,1,0.018,2,0.080
1,94,0.003,0.4,40,2,2,1,2024-04-22 18:00,1,0.014,2,0.083
1,89,0.003,0.4,38,2,2,1,2024-04-22 17:00,1,0.016,2,0.077
1,87,0.003,0.4,37,2,2,1,2024-04-22 16:00,1,0.014,2,0.074
1,83,0.003,0.4,31,2,2,1,2024-04-22 15:00,1,0.012,2,0.069
1,77,0.003,0.4,34,2,2,1,2024-04-22 14:00,1,0.011,2,0.062
