so2Grade,khaiValue,so2Value,coValue,pm10Value,o3Grade,khaiGrade,no2Grade,dataTime,coGrade,no2Value,pm10Grade,o3Value
1,65,0.004,0.4,19,2,2,1,2024-04-23 11:00,1,0.017,1,0.048
1,63,0.004,0.5,18,2,2,1,2024-04-23 10:00,1,0.018,1,0.045
1,65,0.003,0.4,17,2,2,1,2024-04-23 09:00,1,0.016,1,0.048
1,64,0.003,0.3,14,2,2,1,2024-04-23 08:00,1,0.016,1,0.047
1,62,0.003,0.4,16,2,2,1,2024-04-23 07:00,1,0.017,1,0.044
1,63,0.004,0.4,15,2,2,1,2024-04-23 06:00,1,0.013,1,0.045
1,61,0.004,0.4,17,2,2,1,2024-04-23 05:00,1,0.013,2,0.043
1,60,0.004,0.4,20,2,2,1,2024-04-23 04:00,1,0.012,2,0.042
1,64,0.004,0.4,37,2,2,1,2024-04-23 03:00,1,0.015,2,0.039
1,62,0.004,0.4,43,2,2,1,2024-04-23 02:00,1,0.021,2,0.044
1,73,0.003,0.4,43,2,2,1,2024-04-23 01:00,1,0.020,2,0.058
1,63,0.004,0.5,50,2,2,2,2024-04-22 24:00,1,0.033,2,0.046
1,80,0.004,0.5,37,2,2,2,2024-04-22 23:00,1,0.048,2,0.035
1,72,0.004,0.4,34,2,2,2,2024-04-22 22:00,1,0.031,2,0.056
1,82,0.003,0.4,34,2,2,1,2024-04-22 21:00,1,0.020,2,0.068
1,83,0.003,0.4,34,2,2,1,2024-04-22 20:00,1,0.023,2,0.070
1,81,0.003,0.4,39,2,2,1,2024-04-22 19:00,1,0.027,1,0.067
1,81,0.003,0.4,31,2,2,1,2024-04-22 18:00,1,0.028,1,0.067
1,84,0.003,0.4,24,2,2,1,2024-04-22 17:00,1,0.022,1,0.071
1,83,0.003,0.4,24,2,2,1,2024-04-22 16:00,1,0.017,1,0.069
1,79,0.003,0.4,26,2,2,1,2024-04-22 15:00,1,0.014,1,0.065
1,74,0.003,0.4,28,2,2,1,2024-04-22 14:00,1,0.014,1,0.059
1,69,0.003,0.4,34,2,2,1,2024-04-22 13:00,1,0.017,1,0.053
