so2Grade,khaiValue,so2Value,coValue,pm10Flag,pm10Value,o3Grade,no2Grade,dataTime,coGrade,no2Value,o3Value,khaiGrade,pm10Grade,coFlag,no2Flag,o3Flag,so2Flag
1,-,0.002,0.2,통신장애,-,2,1,2024-04-23 11:00,1,0.004,0.056,,,,,,
1,-,0.002,0.2,통신장애,-,2,1,2024-04-23 10:00,1,0.005,0.052,,,,,,
1,-,0.003,0.2,통신장애,-,2,1,2024-04-23 09:00,1,0.008,0.047,,,,,,
1,-,0.002,0.2,통신장애,-,2,1,2024-04-23 08:00,1,0.017,0.038,,,,,,
1,-,0.002,0.2,통신장애,-,1,2,2024-04-23 07:00,1,0.031,0.025,,,,,,
1,-,0.002,0.2,통신장애,-,1,1,2024-04-23 06:00,1,0.020,0.030,,,,,,
1,-,0.002,0.1,통신장애,-,2,1,2024-04-23 05:00,1,0.006,0.039,,,,,,
1,-,0.002,0.1,통신장애,-,2,1,2024-04-23 04:00,1,0.005,0.038,,,,,,
1,-,0.002,0.2,통신장애,-,2,1,2024-04-23 03:00,1,0.010,0.032,,,,,,
1,-,0.002,0.2,통신장애,-,2,1,2024-04-23 02:00,1,0.009,0.035,,,,,,
1,-,0.002,0.2,통신장애,-,1,1,2024-04-23 01:00,1,0.014,0.029,,,,,,
1,-,0.002,0.2,통신장애,-,1,1,2024-04-22 24:00,1,0.022,0.026,,,,,,
1,-,0.002,0.3,통신장애,-,2,1,2024-04-22 23:00,1,0.025,0.043,,,,,,
1,71,0.002,0.2,통신장애,-,2,1,2024-04-22 22:00,1,0.017,0.055,2,2,,,,
1,64,0.002,0.2,,33,2,1,2024-04-22 21:00,1,0.010,0.047,2,2,,,,
1,59,0.002,0.2,,33,2,1,2024-04-22 20:00,1,0.023,0.041,2,2,,,,
1,71,0.002,0.2,,33,2,1,2024-04-22 19:00,1,0.015,0.055,2,2,,,,
1,-,0.002,0.2,,33,2,1,2024-04-22 18:00,1,0.008,0.065,,,,,,
1,-,0.002,0.2,,33,2,1,2024-04-22 17:00,1,0.007,0.065,,,,,,
,-,-,-,통신장애,-,,,2024-04-22 16:00,,-,-,,,통신장애,통신장애,통신장애,통신장애
,-,-,-,통신장애,-,,,2024-04-22 15:00,,-,-,,2,통신장애,통신장애,통신장애,통신장애
1,78,0.003,0.2,,33,2,1,2024-04-22 14:00,1,0.002,0.063,2,2,,,,
1,73,0.003,0.2,,38,2,1,2024-04-22 13:00,1,0.002,0.057,2,2,,,,
