so2Grade,khaiValue,so2Value,coValue,pm10Value,o3Grade,khaiGrade,no2Grade,dataTime,coGrade,no2Value,pm10Grade,o3Value,coFlag,pm10Flag,no2Flag,o3Flag,so2Flag
1,70,0.002,0.3,29,2,2,1,2024-04-23 11:00,1,0.006,1,0.054,,,,,
1,67,0.003,0.3,24,2,2,1,2024-04-23 10:00,1,0.004,1,0.050,,,,,
1,64,0.003,0.3,25,2,2,1,2024-04-23 09:00,1,0.004,1,0.047,,,,,
1,63,0.003,0.3,20,2,2,1,2024-04-23 08:00,1,0.004,1,0.046,,,,,
1,60,0.003,0.3,21,2,2,1,2024-04-23 07:00,1,0.006,1,0.042,,,,,
1,59,0.003,0.3,20,2,2,1,2024-04-23 06:00,1,0.006,1,0.041,,,,,
1,58,0.003,0.3,15,2,2,1,2024-04-23 05:00,1,0.005,1,0.039,,,,,
1,54,0.004,0.3,21,2,2,1,2024-04-23 04:00,1,0.005,1,0.035,,,,,
1,57,0.003,0.3,22,2,2,1,2024-04-23 03:00,1,0.003,1,0.038,,,,,
1,60,0.003,0.3,19,2,2,1,2024-04-23 02:00,1,0.003,1,0.042,,,,,
1,58,0.003,0.3,19,2,2,1,2024-04-23 01:00,1,0.004,1,0.039,,,,,
1,59,0.003,0.3,27,2,2,1,2024-04-22 24:00,1,0.003,1,0.040,,,,,
1,64,0.003,0.3,25,2,2,1,2024-04-22 23:00,1,0.003,1,0.041,,,,,
1,64,0.003,0.3,26,2,2,1,2024-04-22 22:00,1,0.004,2,0.042,,,,,
1,-,0.003,0.4,33,2,,1,2024-04-22 21:00,1,0.008,2,0.044,,,,,
1,-,0.003,0.4,31,2,,1,2024-04-22 20:00,1,0.009,2,0.049,,,,,
1,-,0.003,0.3,31,2,,1,2024-04-22 19:00,1,0.006,2,0.059,,,,,
1,-,0.004,0.3,27,2,,1,2024-04-22 18:00,1,0.006,2,0.066,,,,,
1,-,0.003,0.3,36,2,,1,2024-04-22 17:00,1,0.005,2,0.068,,,,,
1,-,0.003,0.3,33,2,,1,2024-04-22 16:00,1,0.006,2,0.066,,,,,
1,-,0.003,0.3,36,2,,1,2024-04-22 15:00,1,0.005,2,0.062,,,,,
,-,-,-,-,,,,2024-04-22 14:00,,-,2,-,통신장애,통신장애,통신장애,통신장애,통신장애
